target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_decision,audit_reason
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502194M,Goethes Werke,Band VII. Wilhelm Meisters Lehrjahre,ger,9780543842589,Adamant Media Corporation,"April 4, 2002",,2476300,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-003-OL10502194M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
4,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502195M,Goethes Werke,"Band VI. Die Leiden des jungen Werthers. Briefe aus der Schweiz. Brief des Pastors zu *** an den neuen Pastor zu ***. Zwo wichtige, bisher ... Biblische Fragen. Die Wahlverwandtschaften",ger,9780543842626,Adamant Media Corporation,"April 4, 2002",,2476301,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-004-OL10502195M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
7,DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Maria Stuart,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
32,DE,GERMAN_LANGUAGE_CANON,1,Hermann Hesse,Demian,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
36,DE,TWENTIETH_CENTURY,1,Thomas Mann,Der Zauberberg,TITLE_AUTHOR,/works/OL14866866W,Selbstkommentare: Der Zauberberg,Thomas Mann,/books/OL15280119M,Selbstkommentare: Der Zauberberg,,ger,3596268958,Fischer Taschenbuch,1993,,7081887,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-036-OL15280119M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
38,DE,TWENTIETH_CENTURY,1,Hermann Hesse,Der Steppenwolf,TITLE_AUTHOR,/works/OL15032907W,Der Steppenwolf. Erläuterungen und Dokumente,Hermann Hesse,/books/OL9018868M,Der Steppenwolf. Erläuterungen und Dokumente.,,ger,9783150081938,"Reclam, Ditzingen","October 1, 1992",,996979,0.95,1.0,0.9590000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-038-OL9018868M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
39,DE,TWENTIETH_CENTURY,1,Hermann Hesse,Das Glasperlenspiel,TITLE_AUTHOR,/works/OL15032974W,"Suhrkamp Taschenbücher, Nr.80, Materialien zu Hermann Hesse 'Das Glasperlenspiel'",Hermann Hesse,/books/OL9050731M,"Suhrkamp Taschenbücher, Nr.80, Materialien zu Hermann Hesse 'Das Glasperlenspiel'",,ger,9783518365809,Suhrkamp,"January 1, 1973",,1016481,0.95,1.0,0.9590000000000001,VALID_COVER,291,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-039-OL9050731M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
40,DE,TWENTIETH_CENTURY,1,Alfred Döblin,Berlin Alexanderplatz,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
42,DE,TWENTIETH_CENTURY,1,Bertolt Brecht,Mutter Courage und ihre Kinder,TITLE_ONLY,/works/OL8088882W,Mutter Courage Und Ihre Kinder (Suhrkamp Taschenbuch Materialien),S. Brecht,/books/OL3089438M,"Brechts ""Mutter Courage und ihre Kinder""",,ger,351838516X,Suhrkamp,1982,,2212528,0.95,0.6363636363636364,0.8644545454545456,VALID_COVER,291,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-042-OL3089438M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
52,DE,TWENTIETH_CENTURY,1,Ingeborg Bachmann,Malina,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
