language,category,editorial_rank,target_author,target_work
DE,GERMAN_LANGUAGE_CANON,1,Novalis,Heinrich von Ofterdingen
DE,GERMAN_LANGUAGE_CANON,2,Heinrich von Kleist,Die Marquise von O...
DE,GERMAN_LANGUAGE_CANON,3,Theodor Fontane,Frau Jenny Treibel
DE,GERMAN_LANGUAGE_CANON,4,Gottfried Keller,Kleider machen Leute
DE,TWENTIETH_CENTURY,1,Stefan Zweig,Die Welt von Gestern
DE,TWENTIETH_CENTURY,2,Joseph Roth,Hiob
DE,TWENTIETH_CENTURY,3,Anna Seghers,Transit
DE,TWENTIETH_CENTURY,4,Heinrich Böll,Billard um halb zehn
DE,TWENTIETH_CENTURY,5,Günter Grass,Hundejahre
DE,TWENTIETH_CENTURY,6,Max Frisch,Andorra
DE,TWENTIETH_CENTURY,7,Friedrich Dürrenmatt,Das Versprechen
DE,TWENTIETH_CENTURY,8,Bertolt Brecht,Leben des Galilei
DE,CONTEMPORARY,1,Patrick Süskind,Die Taube
DE,CONTEMPORARY,2,Bernhard Schlink,Liebesfluchten
DE,CONTEMPORARY,3,Daniel Kehlmann,Ruhm
DE,CONTEMPORARY,4,Jenny Erpenbeck,Aller Tage Abend
DE,CONTEMPORARY,5,W. G. Sebald,Die Ausgewanderten
DE,CONTEMPORARY,6,Elfriede Jelinek,Die Kinder der Toten
DE,CONTEMPORARY,7,Herta Müller,Der Mensch ist ein großer Fasan auf der Welt
DE,CONTEMPORARY,8,Juli Zeh,Corpus Delicti
DE,CONTEMPORARY,9,Saša Stanišić,Vor dem Fest
DE,CONTEMPORARY,10,Robert Seethaler,Der Trafikant
DE,CONTEMPORARY,11,Wolfgang Herrndorf,Sand
DE,CONTEMPORARY,12,Judith Hermann,"Sommerhaus, später"
DE,CONTEMPORARY,13,Christian Kracht,Faserland
DE,CONTEMPORARY,14,Juli Zeh,Spieltrieb
DE,CONTEMPORARY,15,Clemens Meyer,Als wir träumten
DE,CONTEMPORARY,16,Daniel Glattauer,Gut gegen Nordwind
DE,HISTORY_SOCIETY,1,Sebastian Haffner,Anmerkungen zu Hitler
DE,HISTORY_SOCIETY,2,Victor Klemperer,Ich will Zeugnis ablegen bis zum letzten
DE,HISTORY_SOCIETY,3,Joachim Fest,Der Untergang
DE,HISTORY_SOCIETY,4,Golo Mann,Wallenstein
DE,HISTORY_SOCIETY,5,Willy Brandt,Links und frei
DE,HISTORY_SOCIETY,6,Heinrich August Winkler,Der lange Weg nach Westen
DE,HISTORY_SOCIETY,7,Wolfgang Benz,Geschichte des Dritten Reiches
DE,HISTORY_SOCIETY,8,Peter Longerich,Hitler
DE,HISTORY_SOCIETY,9,Jürgen Kocka,Geschichte des Kapitalismus
DE,HISTORY_SOCIETY,10,Herfried Münkler,Die Deutschen und ihre Mythen
DE,HISTORY_SOCIETY,11,Aleida Assmann,Der lange Schatten der Vergangenheit
DE,HISTORY_SOCIETY,12,Götz Aly,Hitlers Volksstaat
DE,YOUTH,1,Otfried Preußler,Die kleine Hexe
DE,YOUTH,2,Michael Ende,Jim Knopf und Lukas der Lokomotivführer
DE,YOUTH,3,Erich Kästner,Das fliegende Klassenzimmer
DE,YOUTH,4,Cornelia Funke,Tintenherz
DE,SCIENCE_CULTURE,1,Alexander von Humboldt,Ansichten der Natur
DE,SCIENCE_CULTURE,2,Albert Einstein,Mein Weltbild
DE,SCIENCE_CULTURE,3,Max Planck,Das Weltbild der neuen Physik
DE,SCIENCE_CULTURE,4,Konrad Lorenz,"Er redete mit dem Vieh, den Vögeln und den Fischen"
DE,SCIENCE_CULTURE,5,Hoimar von Ditfurth,Im Anfang war der Wasserstoff
DE,SCIENCE_CULTURE,6,Werner Heisenberg,Physik und Philosophie
