target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL793871W,La gitanilla,Miguel de Cervantes Saavedra,/books/OL14824177M,La Gitanilla,from his 'Novelas ejemplares' (slightly abridged),spa,,Harrap,1924,,,0.95,0.95,0.861,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL17199558W,Rinconete y Cortadillo y otras novelas ejemplares,Miguel de Cervantes Saavedra,/books/OL25771233M,Rinconete y Cortadillo y otras novelas ejemplares,,spa,9788468206851,Vicens Vives,2015,,7367838,0.95,0.95,0.9460000000000001,VALID_COVER,380,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-002-OL25771233M.jpeg,USABLE_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,BROAD,/works/OL15233914W,Rinconete y Cortadillo,Miguel de Cervantes Saavedra,/books/OL2591582M,"Novelas ejemplares, Rinconete y Cortadillo",,spa,8473200551,Tárraco,1984,,,0.95,0.95,0.891,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_ONLY,/works/OL503626W,Tres novelas ejemplares y un prólogo,Miguel de Unamuno,/books/OL26561075M,Tres novelas ejemplares y un prólogo. --,,eng | spa | fre,,Espasa-Calpe,1961,,9314346,0.95,0.6666666666666666,0.8423333333333334,VALID_COVER,296,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-002-OL26561075M.jpeg,USABLE_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL29174044W,Novelas Ejemplares,Miguel de Cervantes Saavedra,/books/OL40190507M,Novelas Ejemplares,,spa,9798352736425,Independently Published,2022,,,1.0,0.95,0.917,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_ONLY,/works/OL31010113W,Novelas Ejemplares,Harry Andrews | Miguel de Cervantes Saavedra,/books/OL42592064M,Novelas Ejemplares,,spa,9798688282894,Independently Published,2020,,,1.0,0.95,0.917,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL38463747W,Novelas ejemplares,Miguel de Cervantes Saavedra,/books/OL52579941M,Novelas ejemplares,,spa,,Calpe,1900,,,1.0,0.95,0.887,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_ONLY,/works/OL40551725W,Novelas Ejemplares,Miguel de Cervantes Saavedra | Luis García,/books/OL55209881M,Novelas Ejemplares,,spa,9781544952956,CreateSpace Independent Publishing Platform,2017,,,1.0,0.95,0.917,NOT_PROBED,,,,,REJECTED_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL14873259W,Novelas Ejemplares,Miguel de Cervantes Saavedra,/books/OL9118235M,Novelas Ejemplares,,spa,9788423905676,Espasa-Calpe,1983,,7260401,1.0,0.95,0.9720000000000001,VALID_COVER,225,353,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-002-OL9118235M.jpeg,USABLE_CANDIDATE,
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL273392W,Novelas ejemplares,Miguel de Cervantes Saavedra,/books/OL9130091M,Novelas Ejemplares,1,eng | spa,9788437602219,Ediciones Catedra,November 1999,,1047439,1.0,0.95,0.9720000000000001,VALID_COVER,313,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-002-OL9130091M.jpeg,USABLE_CANDIDATE,
