target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
2,ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,TITLE_AUTHOR,/works/OL14873259W,Novelas Ejemplares,Miguel de Cervantes Saavedra,/books/OL9118235M,Novelas Ejemplares,,spa,9788423905676,Espasa-Calpe,1983,,7260401,1.0,0.95,0.9720000000000001,VALID_COVER,225,353,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-002-OL9118235M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
3,ES,SPANISH_CANON,1,Miguel de Cervantes,La Galatea,BROAD,/works/OL793640W,La Galatea,Miguel de Cervantes Saavedra | Roger Grass,/books/OL32359319M,La galatea,,spa,,Rodriguez,1914,,11781757,1.0,0.95,0.9420000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-003-OL32359319M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
4,ES,SPANISH_CANON,1,Miguel de Cervantes,Los trabajos de Persiles y Sigismunda,TITLE_AUTHOR,/works/OL793870W,Los trabajos de Persiles y Sigismunda,Miguel de Cervantes Saavedra,/books/OL4471560M,Los trabajos de Persiles y Sigismunda,,spa,,Editorial Castalia,1969,,5813083,1.0,0.95,0.9420000000000001,VALID_COVER,307,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-004-OL4471560M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
5,ES,SPANISH_CANON,1,Lope de Vega,Fuenteovejuna,TITLE_ONLY,/works/OL8089380W,Fuenteovejuna,Lope de Vega,/books/OL13193330M,Fuenteovejuna,,spa,9788420726335,Continental Book Company,June 1998,,5259164,1.0,1.0,0.9850000000000001,VALID_COVER,128,175,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-005-OL13193330M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
6,ES,SPANISH_CANON,1,Lope de Vega,El perro del hortelano,BROAD,/works/OL914694W,El perro del hortelano,Lope de Vega,/books/OL26692389M,El perro del hortelano,,spa,9788497404310,Castalia,2011,,8361295,1.0,1.0,0.9850000000000001,VALID_COVER,322,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-006-OL26692389M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
7,ES,SPANISH_CANON,1,Lope de Vega,La dama boba,TITLE_AUTHOR,/works/OL914552W,La dama boba,Lope de Vega,/books/OL353542M,Lady Nitwit,La dama boba,eng | spa,0927534746,Bilingual Press,1998,,12367615,1.0,1.0,0.9850000000000001,VALID_COVER,342,496,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-007-OL353542M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
8,ES,SPANISH_CANON,1,Pedro Calderón de la Barca,La vida es sueño,TITLE_AUTHOR,/works/OL22161450W,La vida es sueño,Pedro Calderón de la Barca,/books/OL31048303M,La vida es sueño,,spa,9788497404105,Editorial Castalia,2012,,14595213,1.0,1.0,0.9850000000000001,VALID_COVER,323,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-008-OL31048303M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
9,ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El alcalde de Zalamea,TITLE_AUTHOR,/works/OL10252233W,El Alcalde De Zalamea,Pedro Calderón de la Barca,/books/OL22158214M,El alcalde de Zalamea,,spa,8420727776,Anaya,1987,,5258940,1.0,1.0,0.9850000000000001,VALID_COVER,128,187,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-009-OL22158214M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
10,ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El gran teatro del mundo,TITLE_AUTHOR,/works/OL9114919W,El gran teatro del mundo/ El gran mercado del mundo/ The Great Theater of the World/ The World is a Fair,Pedro Calderón de la Barca,/books/OL4840103M,El gran teatro del mundo,El gran mercado del mundo,spa,8437600294,Ediciones Cátedra,1974,,1047420,1.0,1.0,0.9850000000000001,VALID_COVER,309,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-010-OL4840103M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
11,ES,SPANISH_CANON,1,Tirso de Molina,El burlador de Sevilla,BROAD,/works/OL638607W,Burlador de Sevilla,Tirso de Molina,/books/OL317343M,El burlador de Sevilla y convidado de piedra,,spa,8470397737,Editorial Castalia,1997,,11022292,0.95,1.0,0.9590000000000001,VALID_COVER,322,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-011-OL317343M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
12,ES,SPANISH_CANON,1,Fernando de Rojas,La Celestina,TITLE_AUTHOR,/works/OL8302251W,La Celestina,Fernando De Rojas,/books/OL13234064M,LA Celestina,,spa,9788432069802,"Espasa Calpe Mexicana, S.A.",September 1995,,12667644,1.0,1.0,0.9850000000000001,VALID_COVER,285,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-012-OL13234064M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
13,ES,SPANISH_CANON,1,Garcilaso de la Vega,Églogas,TITLE_AUTHOR,/works/OL9008675W,Églogas,Garcilaso de la Vega,/books/OL13365123M,Églogas,,spa,9788498162394,Linkgua S.L.,"January 1, 2007",,3335736,1.0,1.0,0.9850000000000001,VALID_COVER,323,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-013-OL13365123M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
14,ES,SPANISH_CANON,1,San Juan de la Cruz,Cántico espiritual,TITLE_AUTHOR,/works/OL9122588W,Cantico espiritual,San Juan de La Cruz,/books/OL9153812M,Cantico espiritual,,spa,9788496290174,Linkgua US,"January 24, 2007",,2273042,1.0,1.0,0.9850000000000001,VALID_COVER,323,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-014-OL9153812M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
17,ES,SPANISH_CANON,1,Francisco de Quevedo,Sueños,TITLE_AUTHOR,/works/OL144959W,Sueños,Francisco de Quevedo,/books/OL1523600M,Sueños y discursos,,spa,8470396641,Editorial Castalia,1993,,3960936,1.0,1.0,0.9850000000000001,VALID_COVER,128,205,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-017-OL1523600M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
18,ES,SPANISH_CANON,1,Luis de Góngora,Soledades,BROAD,/works/OL9114997W,Soledades / Loneliness,Luis de Góngora y Argote,/books/OL9130082M,Soledades / Loneliness,,spa,9788437601991,Ediciones Catedra S.A.,"June 30, 2004",,2270380,0.95,0.95,0.9460000000000001,VALID_COVER,309,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-018-OL9130082M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
19,ES,SPANISH_CANON,1,Luis de Góngora,Fábula de Polifemo y Galatea,BROAD,/works/OL2208037W,Polifemo,Luis de Góngora y Argote | Alfonso Callejo | Maria Teresa Pajares,/books/OL3235091M,Fábula de Polifemo y Galatea,,spa,843760379X,Cátedra,1983,,4909765,1.0,0.95,0.9720000000000001,VALID_COVER,128,212,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-019-OL3235091M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
20,ES,SPANISH_CANON,1,José Cadalso,Cartas marruecas,TITLE_AUTHOR,/works/OL7567258W,Cartas marruecas / Noches lúgubres,José Cadalso,/books/OL22450063M,Cartas marruecas / Noches lúgubres,,spa,8437601452,Cátedra,1981,,9246576,0.95,1.0,0.9590000000000001,VALID_COVER,295,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-020-OL22450063M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
21,ES,SPANISH_CANON,1,Leandro Fernández de Moratín,El sí de las niñas,TITLE_AUTHOR,/works/OL9117884W,El Si de Las Ninas,Leandro Fernández de Moratín,/books/OL13056777M,El Si de Las Ninas,,spa,9789561313767,Andres Bello,September 1998,,14632569,1.0,1.0,0.9850000000000001,VALID_COVER,326,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-021-OL13056777M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
22,ES,SPANISH_CANON,1,Gustavo Adolfo Bécquer,Rimas y leyendas,TITLE_AUTHOR,/works/OL23779668W,Rimas y leyendas,Gustavo Adolfo Bécquer,/books/OL35328792M,Rimas y leyendas,,spa,9789706271228,Época,1997,,12146387,1.0,1.0,0.9850000000000001,VALID_COVER,320,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-022-OL35328792M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
23,ES,SPANISH_CANON,1,Benito Pérez Galdós,Fortunata y Jacinta,TITLE_AUTHOR,/works/OL815451W,Fortunata y Jacinta,Benito Pérez Galdós,/books/OL17918771M,Fortunata y Jacinta,,spa | eng,8430621695,Taurus,1986,,5388859,1.0,1.0,0.9850000000000001,VALID_COVER,128,204,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-023-OL17918771M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
24,ES,SPANISH_CANON,1,Benito Pérez Galdós,Misericordia,TITLE_AUTHOR,/works/OL7999209W,Misericordia,Benito Pérez Galdós,/books/OL9149202M,Misericordia,,spa,9789561311824,Edicomunicacion,February 1998,,4916067,1.0,1.0,0.9850000000000001,VALID_COVER,128,201,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-024-OL9149202M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
25,ES,SPANISH_CANON,1,Benito Pérez Galdós,Doña Perfecta,TITLE_AUTHOR,/works/OL16251424W,Dona Perfecta,Benito Pérez Galdós,/books/OL22124910M,Dona Perfecta,"adapted for early reading with notes, exercises, and vocabulary",spa,,D.C. Heath and company,1940,,11010753,1.0,1.0,0.9550000000000001,VALID_COVER,314,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-025-OL22124910M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
26,ES,SPANISH_CANON,1,Benito Pérez Galdós,Tristana,TITLE_AUTHOR,/works/OL815443W,Tristana,Benito Pérez Galdós,/books/OL14637522M,Tristana,,spa,,Impr. de la Guirnalda,1892,,9540696,1.0,1.0,0.9550000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-026-OL14637522M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
27,ES,SPANISH_CANON,1,Leopoldo Alas Clarín,La Regenta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
