target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,TITLE_ONLY,/works/OL29482215W,Libro de la Vida,Teresa de Jesús,/books/OL40582913M,Libro de la Vida,,spa,9781521765210,Independently Published,2017,,,1.0,0.95,0.9265,NOT_PROBED,,,,,
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,AUTHOR_ONLY,/works/OL29488372W,Vida,Santa Teresa de Jesús,/books/OL40590078M,Vida,,spa,9781973154921,Independently Published,2017,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,TITLE_AUTHOR,/works/OL35835963W,Libro de la Vida the Life of Saint Teresa of Avila by Herself (Edición en Español) Ilustrado,Santa Teresa de Jesús,/books/OL48368636M,Libro de la Vida the Life of Saint Teresa of Avila by Herself (Edición en Español) Ilustrado,,spa,9798715333827,Independently Published,2021,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,TITLE_AUTHOR,/works/OL40197580W,Libro de la Vida,Santa Teresa de Jesus,/books/OL54692844M,Libro de la Vida,,spa,9781979143097,CreateSpace Independent Publishing Platform,2017,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,TITLE_AUTHOR,/works/OL40343046W,Libro de la Vida (Spanish Edition),Santa Teresa de Jesus,/books/OL55888836M,Libro de la Vida (Spanish Edition),,spa,9781537746517,CreateSpace Independent Publishing Platform,2016,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,TITLE_AUTHOR,/works/OL9104718W,El Buscon y Escritos Breves,Francisco de Quevedo,/books/OL12952120M,El Buscon y Escritos Breves,,spa,9789500303477,Losada,November 1991,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,TITLE_AUTHOR,/works/OL15287360W,El Buscón y Escritos breves,Francisco de Quevedo,/books/OL17978880M,El Buscón y Escritos breves,,spa,,Editorial Losada,1951,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,AUTHOR_ONLY,/works/OL40147751W,Historia de la Vida Del Buscón,Francisco de Quevedo,/books/OL54632584M,Historia de la Vida Del Buscón,,spa,9781515012108,CreateSpace Independent Publishing Platform,2015,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,TITLE_AUTHOR,/works/OL40440147W,Antología Francisco de Quevedo,Francisco de Quevedo,/books/OL54994863M,Antología Francisco de Quevedo,el Buscón,spa,9781542651127,CreateSpace Independent Publishing Platform,2017,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,AUTHOR_ONLY,/works/OL40704309W,Historia de la Vida Del Buscón,Francisco de Quevedo,/books/OL55329774M,Historia de la Vida Del Buscón,,spa,9781540509796,CreateSpace Independent Publishing Platform,2016,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,TITLE_AUTHOR,/works/OL44467037W,El Buscón de Vierge,Francisco de Quevedo | Arturo Echavarren | Daniel Urrabieta Vierge,/books/OL60735547M,El Buscón de Vierge,,spa,9788416968770,Reino de Cordelia,2019,,,0.95,1.0,0.9135,NOT_PROBED,,,,,
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,TITLE_AUTHOR,/works/OL45186757W,El buscón,Francisco de Quevedo,/books/OL61612402M,El buscón,y escritos breves,spa,,Losada,1979,,,1.0,1.0,0.915,NOT_PROBED,,,,,
