target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_decision,audit_reason
15,ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
16,ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
27,ES,SPANISH_CANON,1,Leopoldo Alas Clarín,La Regenta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
36,ES,SPANISH_CANON,1,Pío Baroja,Zalacaín el aventurero,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
38,ES,SPANISH_CANON,1,Ramón del Valle-Inclán,Sonata de otoño,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
46,ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,Ficciones,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
59,ES,LATIN_AMERICAN_CANON,1,Mario Vargas Llosa,La guerra del fin del mundo,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
63,ES,LATIN_AMERICAN_CANON,1,Alejo Carpentier,Los pasos perdidos,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
85,ES,LATIN_AMERICAN_CANON,1,Ernesto Sábato,Sobre héroes y tumbas,TITLE_AUTHOR,/works/OL31698831W,El túnel / Sobre héroes y tumbas,Ernesto Sabato,/books/OL43384183M,El túnel / Sobre héroes y tumbas,vol 19,spa,8432224197,Seix Barral,1985,,13028842,0.95,1.0,0.9590000000000001,VALID_COVER,326,500,JPEG,data/audit/reconstruction-ES-candidate-covers/ES-085-OL43384183M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_COLLISION,Edition physique déjà utilisée par un autre objectif ES; nouvelle édition requise.
93,ES,SPAIN_MODERN_CONTEMPORARY,2,Carmen Laforet,Nada,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
