language,category,editorial_rank,target_author,target_work
ES,SPANISH_CANON,1,Jorge Manrique,Coplas por la muerte de su padre
ES,SPANISH_CANON,2,Fray Luis de León,De los nombres de Cristo
ES,SPANISH_CANON,3,Santa Teresa de Jesús,Camino de perfección
ES,SPANISH_CANON,4,Pedro Calderón de la Barca,El médico de su honra
ES,SPANISH_CANON,5,Lope de Vega,Peribáñez y el comendador de Ocaña
ES,SPANISH_CANON,6,Tirso de Molina,Don Gil de las calzas verdes
ES,SPANISH_CANON,7,Benito Pérez Galdós,Marianela
ES,SPANISH_CANON,8,Emilia Pardo Bazán,Insolación
ES,SPANISH_CANON,9,Ramón del Valle-Inclán,Tirano Banderas
ES,SPANISH_CANON,10,Pío Baroja,La busca
ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,El libro de arena
ES,LATIN_AMERICAN_CANON,2,Jorge Luis Borges,El hacedor
ES,LATIN_AMERICAN_CANON,3,Mario Vargas Llosa,Pantaleón y las visitadoras
ES,LATIN_AMERICAN_CANON,4,Alejo Carpentier,El siglo de las luces
ES,LATIN_AMERICAN_CANON,5,Gabriel García Márquez,La hojarasca
ES,LATIN_AMERICAN_CANON,6,Carlos Fuentes,La región más transparente
ES,LATIN_AMERICAN_CANON,7,Julio Cortázar,Las armas secretas
ES,LATIN_AMERICAN_CANON,8,Miguel Ángel Asturias,Mulata de tal
ES,SPAIN_MODERN_CONTEMPORARY,1,Miguel Delibes,La sombra del ciprés es alargada
ES,SPAIN_MODERN_CONTEMPORARY,2,Carmen Laforet,La isla y los demonios
ES,SPAIN_MODERN_CONTEMPORARY,3,Carmen Martín Gaite,Nubosidad variable
ES,SPAIN_MODERN_CONTEMPORARY,4,Javier Marías,Los enamoramientos
ES,SPAIN_MODERN_CONTEMPORARY,5,Antonio Muñoz Molina,Plenilunio
ES,SPAIN_MODERN_CONTEMPORARY,6,Eduardo Mendoza,Sin noticias de Gurb
ES,SPAIN_MODERN_CONTEMPORARY,7,Arturo Pérez-Reverte,La tabla de Flandes
ES,SPAIN_MODERN_CONTEMPORARY,8,Almudena Grandes,Malena es un nombre de tango
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,1,Isabel Allende,Eva Luna
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,2,Roberto Bolaño,Estrella distante
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,3,Elena Poniatowska,Leonora
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,4,Laura Restrepo,La novia oscura
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,5,Samanta Schweblin,Pájaros en la boca
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,6,Valeria Luiselli,La historia de mis dientes
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,7,Alejandro Zambra,Poeta chileno
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,8,Juan Gabriel Vásquez,Los informantes
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,9,Mariana Enríquez,Nuestra parte de noche
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,10,Guadalupe Nettel,Después del invierno
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,11,Cristina Rivera Garza,La cresta de Ilión
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,12,Fernanda Melchor,Páradais
ES,ESSAYS_PHILOSOPHY,1,María Zambrano,Persona y democracia
ES,ESSAYS_PHILOSOPHY,2,José Ortega y Gasset,España invertebrada
ES,ESSAYS_PHILOSOPHY,3,Octavio Paz,Sor Juana Inés de la Cruz o las trampas de la fe
ES,ESSAYS_PHILOSOPHY,4,Fernando Savater,El valor de educar
ES,ESSAYS_PHILOSOPHY,5,Eduardo Galeano,El libro de los abrazos
ES,HISTORY_SOCIETY,1,Eduardo Galeano,Memoria del fuego
ES,HISTORY_SOCIETY,2,Martín Caparrós,El hambre
ES,HISTORY_SOCIETY,3,Fernando Aramburu,Patria
ES,YOUTH,1,Laura Gallego García,Memorias de Idhún: La Resistencia
ES,YOUTH,2,Elvira Lindo,Pobre Manolito
ES,YOUTH,3,Jordi Sierra i Fabra,Campos de fresas
ES,GRAPHIC,1,Paco Roca,La casa
ES,GRAPHIC,2,Paco Roca,El invierno del dibujante
ES,GRAPHIC,3,Carlos Giménez,Paracuellos
