language,category,editorial_rank,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,search_result
ES,ESSAYS_PHILOSOPHY,1,María Zambrano,Persona y democracia,TITLE_AUTHOR,/works/OL938969W,Persona y democracia,María Zambrano,/books/OL1787185M,Persona y democracia,la historia sacrificial,spa,8476581009,Anthropos,1988,,4016176,1.0,1.0,0.9900000000000001,VALID_COVER,128,214,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-01-OL1787185M.jpeg,BEST_CANDIDATE_FOUND
ES,ESSAYS_PHILOSOPHY,2,José Ortega y Gasset,España invertebrada,TITLE_AUTHOR,/works/OL504329W,España invertebrada,José Ortega y Gasset,/books/OL24138983M,España invertebrada,bosquejo de algunos pensamientos historicos,spa,,Calpe,1921,,6497518,1.0,1.0,0.9650000000000001,VALID_COVER,314,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-02-OL24138983M.jpeg,BEST_CANDIDATE_FOUND
ES,ESSAYS_PHILOSOPHY,3,Octavio Paz,Sor Juana Inés de la Cruz o las trampas de la fe,TITLE_AUTHOR,/works/OL743244W,"Sor Juana Inés de la Cruz, o, Las trampas de la fe",Octavio Paz,/books/OL9172396M,Sor Juana Inés de la Cruz o las trampas de la fe,,spa,9789681612115,"Fondo de Cultura Economica, Mexico","January 1, 1995",,1053901,1.0,1.0,0.9900000000000001,VALID_COVER,304,475,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-03-OL9172396M.jpeg,BEST_CANDIDATE_FOUND
ES,ESSAYS_PHILOSOPHY,4,Fernando Savater,El valor de educar,TITLE_AUTHOR,/works/OL2184693W,El Valor de Educar,Fernando Savater | Antoni Dalmau i Ribalta,/books/OL9129374M,El Valor de Educar,,spa,9788434444690,Ariel,December 2004,,1047359,1.0,1.0,0.9900000000000001,VALID_COVER,311,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-04-OL9129374M.jpeg,BEST_CANDIDATE_FOUND
ES,ESSAYS_PHILOSOPHY,5,Eduardo Galeano,El libro de los abrazos,TITLE_AUTHOR,/works/OL698185W,El libro de los abrazos,Eduardo Galeano,/books/OL9139602M,El Libro de Los Abrazos,,spa,9789508950895,Catalogos,December 2000,,4913955,1.0,1.0,0.9900000000000001,VALID_COVER,128,186,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-05-OL9139602M.jpeg,BEST_CANDIDATE_FOUND
ES,GRAPHIC,1,Paco Roca,La casa,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
ES,GRAPHIC,2,Paco Roca,El invierno del dibujante,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
ES,GRAPHIC,3,Carlos Giménez,Paracuellos,BROAD,/works/OL17368458W,Todo Paracuellos,Carlos Giménez,/books/OL25947385M,Todo Paracuellos,,spa,9788483463246,Random House Mondadori,2016,,7446757,0.95,1.0,0.9635,VALID_COVER,450,344,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-GRAPHIC-03-OL25947385M.jpeg,BEST_CANDIDATE_FOUND
ES,HISTORY_SOCIETY,1,Eduardo Galeano,Memoria del fuego,TITLE_AUTHOR,/works/OL17769735W,Memoria del fuego,Eduardo Galeano,/books/OL26366696M,Memoria del fuego,,spa,9789876291125,Siglo Veintiuno Argentina Editores,2010,,8052810,1.0,1.0,0.9900000000000001,VALID_COVER,297,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-HISTORY_SOCIETY-01-OL26366696M.jpeg,BEST_CANDIDATE_FOUND
ES,HISTORY_SOCIETY,2,Martín Caparrós,El hambre,TITLE_AUTHOR,/works/OL17093139W,El hambre,Martín Caparrós,/books/OL30383623M,El hambre,,spa,9789504940531,Planeta,2014,,13885033,1.0,1.0,0.9900000000000001,VALID_COVER,175,269,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-HISTORY_SOCIETY-02-OL30383623M.jpeg,BEST_CANDIDATE_FOUND
