language,category,editorial_rank,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,search_result
ES,ESSAYS_PHILOSOPHY,1,María Zambrano,Persona y democracia,TITLE_AUTHOR,/works/OL938969W,Persona y democracia,María Zambrano,/books/OL1787185M,Persona y democracia,la historia sacrificial,spa,8476581009,Anthropos,1988,,4016176,1.0,1.0,0.9900000000000001,VALID_COVER,128,214,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-01-OL1787185M.jpeg,BEST_CANDIDATE_FOUND
ES,ESSAYS_PHILOSOPHY,2,José Ortega y Gasset,España invertebrada,TITLE_AUTHOR,/works/OL504329W,España invertebrada,José Ortega y Gasset,/books/OL24138983M,España invertebrada,bosquejo de algunos pensamientos historicos,spa,,Calpe,1921,,6497518,1.0,1.0,0.9650000000000001,VALID_COVER,314,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-ESSAYS_PHILOSOPHY-02-OL24138983M.jpeg,BEST_CANDIDATE_FOUND
ES,GRAPHIC,3,Carlos Giménez,Paracuellos,BROAD,/works/OL17368458W,Todo Paracuellos,Carlos Giménez,/books/OL25947385M,Todo Paracuellos,,spa,9788483463246,Random House Mondadori,2016,,7446757,0.95,1.0,0.9635,VALID_COVER,450,344,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-GRAPHIC-03-OL25947385M.jpeg,BEST_CANDIDATE_FOUND
ES,HISTORY_SOCIETY,1,Eduardo Galeano,Memoria del fuego,TITLE_AUTHOR,/works/OL17769735W,Memoria del fuego,Eduardo Galeano,/books/OL26366696M,Memoria del fuego,,spa,9789876291125,Siglo Veintiuno Argentina Editores,2010,,8052810,1.0,1.0,0.9900000000000001,VALID_COVER,297,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-HISTORY_SOCIETY-01-OL26366696M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,El libro de arena,TITLE_AUTHOR,/works/OL104863W,El Libro de Arena,Jorge Luis Borges | Norman Thomas Di Giovanni | Alastair Reid,/books/OL9808124M,El Libro De Arena,,spa,9788423338719,Destino Ediciones,2006-10,,12774154,1.0,1.0,0.9900000000000001,VALID_COVER,337,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICAN_CANON-01-OL9808124M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICAN_CANON,3,Mario Vargas Llosa,Pantaleón y las visitadoras,TITLE_AUTHOR,/works/OL857652W,Pantaleón y las visitadoras,Mario Vargas Llosa,/books/OL26293262M,Pantaleón y las visitadoras,,spa,8432202525,Seix Barral,1973,,12540951,1.0,1.0,0.9900000000000001,VALID_COVER,307,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICAN_CANON-03-OL26293262M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICAN_CANON,4,Alejo Carpentier,El siglo de las luces,TITLE_AUTHOR,/works/OL580120W,El siglo de las luces,Alejo Carpentier,/books/OL28701120M,El siglo de las luces,,spa,,Seix Barral,1965,,15154043,1.0,1.0,0.9650000000000001,VALID_COVER,327,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICAN_CANON-04-OL28701120M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,2,Roberto Bolaño,Estrella distante,TITLE_AUTHOR,/works/OL712028W,Estrella distante,Roberto Bolaño,/books/OL9669370M,Estrella distante,,spa,9788433910400,Anagrama,August 1999,,15106951,1.0,1.0,0.9900000000000001,VALID_COVER,310,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICA_MODERN_CONTEMPORARY-02-OL9669370M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,3,Elena Poniatowska,Leonora,TITLE_AUTHOR,/works/OL16815973W,Leonora,Elena Poniatowska | Amanda Hopkinson,/books/OL27133962M,Leonora,,spa,9786070706325,Seix Barral,2011,,12513636,1.0,1.0,0.9900000000000001,VALID_COVER,278,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICA_MODERN_CONTEMPORARY-03-OL27133962M.jpeg,BEST_CANDIDATE_FOUND
ES,LATIN_AMERICA_MODERN_CONTEMPORARY,4,Laura Restrepo,La novia oscura,TITLE_AUTHOR,/works/OL97953W,"Novia Oscura, La",Laura Restrepo,/books/OL22252876M,La novia oscura,,spa,0060514310,Alfaguara,2002,,9708656,1.0,1.0,0.9900000000000001,VALID_COVER,330,500,JPEG,data/audit/reconstruction-ES-replacement-covers/ES-replacement-LATIN_AMERICA_MODERN_CONTEMPORARY-04-OL22252876M.jpeg,BEST_CANDIDATE_FOUND
