target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
2,IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,TITLE_ONLY,/works/OL93122W,La vita nuova (The new life),Dante Alighieri | Stanley Appelbaum,/books/OL24973112M,La vita nuova = The new life,"secondo la lezione del cod. Strozziano vi, 143",ita | eng,,Tipografia Domenicana,1906,,6890316,0.95,1.0,0.929,VALID_COVER,338,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-002-OL24973112M.jpeg,USABLE_CANDIDATE,
2,IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,BROAD,/works/OL15207876W,La Vita nuova di Dante Allighieri,Dante Alighieri,/books/OL25452687M,La Vita nuova di Dante Alighieri,,ita,,G.C. Sansoni,1890,,9968886,0.95,1.0,0.929,VALID_COVER,300,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-002-OL25452687M.jpeg,USABLE_CANDIDATE,
2,IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,BROAD,/works/OL93228W,Vita nuova,Dante Alighieri | Dante Gabriel Rossetti | Michael Palmer | Dante Rossetti | Roger Grass,/books/OL6928163M,The New life of Dante Alighieri,,eng | ita,,"Houghton, Mifflin",1892,,5862743,1.0,1.0,0.9550000000000001,VALID_COVER,337,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-002-OL6928163M.jpeg,USABLE_CANDIDATE,
2,IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,TITLE_ONLY,/works/OL93228W,Vita nuova,Dante Alighieri | Dante Gabriel Rossetti | Michael Palmer | Dante Rossetti | Roger Grass,/books/OL7232716M,The new life (La vita nuova) of Dante Alighieri,,eng | ita,,Ellis and Elvey,1899,,5551442,1.0,1.0,0.9550000000000001,VALID_COVER,321,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-002-OL7232716M.jpeg,USABLE_CANDIDATE,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL93126W,Le opere minori,Dante Alighieri,/books/OL16407125M,Opere minori,"Rime, Vita nuova, Convivio, De Vulgari eloquentia, De monarchia, Epistole-Ecolge, Questio de aqua et terra",ita,,Rizzoli,1966,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL93230W,Il Paradiso,Dante Alighieri,/books/OL5499926M,La divina commedia,"le Rime, i versi della Vita nuova e le canzoni del Convivio.",ita,,G. Einaudi,1968,,,0.95,1.0,0.874,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,IT,ITALIAN_CANON,1,Dante Alighieri,Rime,TITLE_AUTHOR,/works/OL93203W,Poems,Dante Alighieri,/books/OL17869554M,Rime,a cura di Gianfranco Contini.,ita,,G. Einaudi,1946,,,1.0,1.0,0.9,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,IT,ITALIAN_CANON,1,Dante Alighieri,Rime,TITLE_AUTHOR,/works/OL93128W,Le rime,Dante Alighieri,/books/OL20601610M,Le Rime,,ita,,P. Fiaccardori,1842,,9547742,0.7272727272727273,1.0,0.8131818181818182,VALID_COVER,320,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-004-OL20601610M.jpeg,USABLE_CANDIDATE,
5,IT,ITALIAN_CANON,1,Francesco Petrarca,Canzoniere,TITLE_AUTHOR,/works/OL15469822W,Rime,Francesco Petrarca,/books/OL24434967M,Il Canzoniere,,ita,,Hoepli,1918,,7031488,0.95,1.0,0.929,VALID_COVER,306,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-005-OL24434967M.jpeg,USABLE_CANDIDATE,
5,IT,ITALIAN_CANON,1,Francesco Petrarca,Canzoniere,TITLE_AUTHOR,/works/OL20267865W,Canzoniere,Francesco Petrarca,/books/OL35736305M,Canzoniere,,ita,9788807820557,Feltrinelli,1992,,12480840,1.0,1.0,0.9850000000000001,VALID_COVER,309,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-005-OL35736305M.jpeg,USABLE_CANDIDATE,
