target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
2,IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,BROAD,/works/OL93228W,Vita nuova,Dante Alighieri | Dante Gabriel Rossetti | Michael Palmer | Dante Rossetti | Roger Grass,/books/OL6928163M,The New life of Dante Alighieri,,eng | ita,,"Houghton, Mifflin",1892,,5862743,1.0,1.0,0.9550000000000001,VALID_COVER,337,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-002-OL6928163M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
4,IT,ITALIAN_CANON,1,Dante Alighieri,Rime,TITLE_AUTHOR,/works/OL93128W,Le rime,Dante Alighieri,/books/OL20601610M,Le Rime,,ita,,P. Fiaccardori,1842,,9547742,0.7272727272727273,1.0,0.8131818181818182,VALID_COVER,320,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-004-OL20601610M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
5,IT,ITALIAN_CANON,1,Francesco Petrarca,Canzoniere,TITLE_AUTHOR,/works/OL20267865W,Canzoniere,Francesco Petrarca,/books/OL35736305M,Canzoniere,,ita,9788807820557,Feltrinelli,1992,,12480840,1.0,1.0,0.9850000000000001,VALID_COVER,309,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-005-OL35736305M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
7,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,TITLE_AUTHOR,/works/OL7180581W,Novelle scelte dal Decamerone di Giovanni Boccaccio,Giovanni Boccaccio,/books/OL24434701M,Novelle scelte dal Decamerone,con commenti filologici e rettorici ad uso delle scuole e degli studiosi della lingua,ita,,Sansoni,1911,,7208079,0.95,1.0,0.929,VALID_COVER,312,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-007-OL24434701M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
8,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,TITLE_AUTHOR,/works/OL20653675W,L'elegia di madonna Fiammetta,Giovanni Boccaccio,/books/OL27927324M,L'elegia di madonna Fiammetta,con le chiose inedite,ita,,G. Laterza,1939,,9300414,0.95,1.0,0.929,VALID_COVER,300,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-008-OL27927324M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
9,IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,TITLE_AUTHOR,/works/OL24177954W,Elegia di madonna Fiammetta-Corbaccio,Giovanni Boccaccio,/books/OL37812813M,Elegia di madonna Fiammetta ; Corbaccio,,ita,9788811583585,Garzanti,1988,,12716798,0.95,1.0,0.9590000000000001,VALID_COVER,284,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-009-OL37812813M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
10,IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,BROAD,/works/OL2899874W,L' Orlando furioso,Lodovico Ariosto,/books/OL24614367M,The Orlando furioso,,eng | ita,,Bohn,1872,,7209743,0.95,0.9375,0.9127500000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-010-OL24614367M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
12,IT,ITALIAN_CANON,1,Torquato Tasso,Gerusalemme liberata,TITLE_AUTHOR,/works/OL20121848W,La Gerusalemme liberata,Torquato Tasso,/books/OL27301793M,La Gerusalemme liberata,,ita,,Edoardo Perino,1890,,8776143,0.95,1.0,0.929,VALID_COVER,349,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-012-OL27301793M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
14,IT,ITALIAN_CANON,1,Niccolò Machiavelli,Il Principe,TITLE_AUTHOR,/works/OL15390915W,Il principe e le deche,Niccolò Machiavelli,/books/OL24368954M,Il principe e le deche,,ita,,Instituto editoriale italiano,19uu,,6600736,0.95,1.0,0.929,VALID_COVER,318,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-014-OL24368954M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
15,IT,ITALIAN_CANON,1,Niccolò Machiavelli,Discorsi sopra la prima deca di Tito Livio,BROAD,/works/OL1089260W,Discourses on Livy,Niccolò Machiavelli | Harvey C. Mansfield | Nathan Tarcov | Alissa Ardito | Ninian Hill Thomson | Henry Neville,/books/OL2500577M,Discorsi sopra la prima deca di Tito Livio,,ita,8817124753,Biblioteca universale Rizzoli,1984,,4139575,1.0,1.0,0.9850000000000001,VALID_COVER,128,212,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-015-OL2500577M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
16,IT,ITALIAN_CANON,1,Niccolò Machiavelli,La Mandragola,BROAD,/works/OL15243974W,La mandragola,Niccolò Machiavelli | Osimo Vittorio,/books/OL19981606M,La mandragola,,ita,8817122882,Rizzoli,1990,,13566190,1.0,1.0,0.9850000000000001,VALID_COVER,301,500,JPEG,data/audit/reconstruction-IT-candidate-covers/IT-016-OL19981606M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
