language,category,editorial_rank,target_author,target_work
IT,TWENTIETH_CENTURY,1,Ignazio Silone,Fontamara
IT,TWENTIETH_CENTURY,2,Ignazio Silone,Pane e vino
IT,TWENTIETH_CENTURY,3,Vasco Pratolini,Cronache di poveri amanti
IT,TWENTIETH_CENTURY,4,Vasco Pratolini,Metello
IT,TWENTIETH_CENTURY,5,Alberto Moravia,Il conformista
IT,TWENTIETH_CENTURY,6,Dino Buzzati,Il colombre
IT,TWENTIETH_CENTURY,7,Natalia Ginzburg,È stato così
IT,TWENTIETH_CENTURY,8,Leonardo Sciascia,Il contesto
IT,TWENTIETH_CENTURY,9,Mario Tobino,Le libere donne di Magliano
IT,TWENTIETH_CENTURY,10,Carlo Cassola,La ragazza di Bube
IT,YOUTH,1,Italo Calvino,Fiabe italiane
IT,YOUTH,2,Gianni Rodari,Grammatica della fantasia
IT,YOUTH,3,Bianca Pitzorno,Polissena del Porcello
IT,YOUTH,4,Bianca Pitzorno,La casa sull'albero
IT,YOUTH,5,Roberto Piumini,Motu-Iti
IT,YOUTH,6,Stefano Benni,Stranalandia
IT,YOUTH,7,Luigi Garlando,Per questo mi chiamo Giovanni
IT,YOUTH,8,Susanna Tamaro,Cuore di ciccia
IT,YOUTH,9,Beatrice Masini,La bambina che parlava ai libri
IT,YOUTH,10,Silvana Gandolfi,La memoria dell'acqua
IT,GRAPHIC,1,Zerocalcare,Dodici
IT,GRAPHIC,2,Zerocalcare,Scheletri
IT,GRAPHIC,3,Gipi,S.
IT,GRAPHIC,4,Gipi,Momenti straordinari con applausi finti
IT,GRAPHIC,5,Manuele Fior,Rosso Oltremare
IT,GRAPHIC,6,Manuele Fior,Le variazioni d'Orsay
IT,GRAPHIC,7,Igort,Pagine nomadi
IT,GRAPHIC,8,Lorenzo Mattotti,Jekyll & Hyde
IT,GRAPHIC,9,Vittorio Giardino,Rapsodia ungherese
IT,GRAPHIC,10,Guido Crepax,Valentina
