language,category,editorial_rank,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,search_result
IT,GRAPHIC,1,Zerocalcare,Dodici,TITLE_AUTHOR,/works/OL22913083W,Dodici,Zerocalcare,/books/OL30822902M,Dodici,,ita,9788865431801,Bao Publishing,2013,,13900798,1.0,1.0,0.9900000000000001,VALID_COVER,365,500,JPEG,data/audit/reconstruction-IT-final-gap-covers/IT-final-gap-GRAPHIC-01-OL30822902M.jpeg,BEST_CANDIDATE_FOUND
IT,GRAPHIC,2,Zerocalcare,Scheletri,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,3,Gipi,S.,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,4,Gipi,Momenti straordinari con applausi finti,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,5,Manuele Fior,Rosso Oltremare,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,6,Manuele Fior,Le variazioni d'Orsay,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,7,Igort,Pagine nomadi,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,8,Lorenzo Mattotti,Jekyll & Hyde,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,9,Vittorio Giardino,Rapsodia ungherese,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,GRAPHIC,10,Guido Crepax,Valentina,BROAD,/works/OL3835050W,Guido Crepax,Guido Crepax,/books/OL22687250M,Guido Crepax,"Valentina, la forma del tempo",ita,9788888482958,C. Cambi,2008,,13268279,0.95,1.0,0.9635,VALID_COVER,379,500,JPEG,data/audit/reconstruction-IT-final-gap-covers/IT-final-gap-GRAPHIC-10-OL22687250M.jpeg,BEST_CANDIDATE_FOUND
IT,TWENTIETH_CENTURY,1,Ignazio Silone,Fontamara,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,TWENTIETH_CENTURY,2,Ignazio Silone,Pane e vino,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,TWENTIETH_CENTURY,3,Vasco Pratolini,Cronache di poveri amanti,TITLE_AUTHOR,/works/OL27713538W,Cronache di poveri amanti,Vasco Pratolini,/books/OL37807392M,Cronache di poveri amanti,,ita,9788804414674,Mondadori,1996,,12714833,1.0,1.0,0.9900000000000001,VALID_COVER,322,500,JPEG,data/audit/reconstruction-IT-final-gap-covers/IT-final-gap-TWENTIETH_CENTURY-03-OL37807392M.jpeg,BEST_CANDIDATE_FOUND
IT,TWENTIETH_CENTURY,4,Vasco Pratolini,Metello,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,TWENTIETH_CENTURY,5,Alberto Moravia,Il conformista,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,TWENTIETH_CENTURY,6,Dino Buzzati,Il colombre,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
