target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL15207773W,Dante's Convivio,Dante Alighieri,/books/OL13533741M,Dante's Convivio,,eng | ita,,Clarendon Press,1909,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL93126W,Le opere minori,Dante Alighieri,/books/OL16407125M,Opere minori,"Rime, Vita nuova, Convivio, De Vulgari eloquentia, De monarchia, Epistole-Ecolge, Questio de aqua et terra",ita,,Rizzoli,1966,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL15207971W,Dante's Il convivio =,Dante Alighieri,/books/OL2202012M,Dante's Il convivio =,(The banquet),eng | ita,082405797X,Garland,1990,,4731809,0.95,1.0,0.9635,VALID_COVER,128,198,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-003-OL2202012M.jpeg,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,BROAD,/works/OL93222W,Convivio,Dante Alighieri,/books/OL23291081M,The convivio of Dante Aliaghieri.,,ita,,Dent,1912,,5754781,1.0,1.0,0.9650000000000001,VALID_COVER,293,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-003-OL23291081M.jpeg,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL28205760W,Il convivio,Dante Alighieri,/books/OL38614641M,Il convivio,,ita,,R. Pátron,1966,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL35787729W,Convivio,Dante Alighieri,/books/OL48291005M,Convivio,Edizione Limitata Da Collezione,ita,9798735043348,Independently Published,2021,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL40100283W,Convivio,Dante Alighieri,/books/OL54576238M,Convivio,,ita,9781477679234,CreateSpace Independent Publishing Platform,2012,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL93230W,Il Paradiso,Dante Alighieri,/books/OL5499926M,La divina commedia,"le Rime, i versi della Vita nuova e le canzoni del Convivio.",ita,,G. Einaudi,1968,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL42217779W,Il convivio,Dante Alighieri,/books/OL57271162M,Il convivio,,ita,,F. Le Monnier,1953,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL42602309W,Il Convivio,Dante Alighieri | Giovanni Busnelli | Giuseppe Vandelli,/books/OL57864609M,Il Convivio,,ita,,F. Le Monnier,1934,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_ONLY,/works/OL43783443W,Convivio,Dante Alighieri | Giorgio Rossi,/books/OL59684217M,Convivio,,ita,,N. Zanichelli,1925,,,1.0,1.0,0.915,NOT_PROBED,,,,,
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,TITLE_AUTHOR,/works/OL44651647W,Il convito,Dante Alighieri,/books/OL60989738M,Il convito,,ita,,,1862,,,0.6666666666666666,1.0,0.7183333333333333,NOT_PROBED,,,,,
