target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,BROAD,/works/OL93222W,Convivio,Dante Alighieri,/books/OL23291081M,The convivio of Dante Aliaghieri.,,ita,,Dent,1912,,5754781,1.0,1.0,0.9650000000000001,VALID_COVER,293,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-003-OL23291081M.jpeg,RECOVERED
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,TITLE_AUTHOR,/works/OL17863250W,Aminta,Torquato Tasso,/books/OL26446303M,Aminta,favola boscareccia,ita,,Della stampa di Roberto ed Andrea Foulis,1753,,8167296,1.0,1.0,0.9650000000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-013-OL26446303M.jpeg,RECOVERED
17,IT,ITALIAN_CANON,1,Francesco Guicciardini,Ricordi,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
19,IT,ITALIAN_CANON,1,Benvenuto Cellini,Vita,TITLE_AUTHOR,/works/OL15471265W,Vita,Benvenuto Cellini,/books/OL24436338M,Vita,,ita,,Tip. all'insegna di Dante,1832,,7223529,1.0,1.0,0.9650000000000001,VALID_COVER,288,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-019-OL24436338M.jpeg,RECOVERED
24,IT,ITALIAN_CANON,1,Carlo Goldoni,Il servitore di due padroni,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
26,IT,ITALIAN_CANON,1,Vittorio Alfieri,Saul,TITLE_AUTHOR,/works/OL4017120W,Saul,Vittorio Alfieri,/books/OL13428286M,Saul,,ita,9788811583967,Garzanti,1990,,5284024,1.0,1.0,0.9900000000000001,VALID_COVER,128,214,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-026-OL13428286M.jpeg,RECOVERED
31,IT,ITALIAN_CANON,1,Alessandro Manzoni,Adelchi,AUTHOR_ONLY,/works/OL644385W,Adelchi,Alessandro Manzoni,/books/OL14908609M,Adelchi,"in appendice gli ""Appunti"" per ""Spartaco""",ita,8811584302,Garzanti,1991,,5295170,1.0,1.0,0.9900000000000001,VALID_COVER,128,214,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-031-OL14908609M.jpeg,RECOVERED
34,IT,ITALIAN_CANON,1,Giovanni Verga,I Malavoglia,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
35,IT,ITALIAN_CANON,1,Giovanni Verga,Mastro-don Gesualdo,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
47,IT,ITALIAN_CANON,1,Italo Svevo,Una vita,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
59,IT,TWENTIETH_CENTURY,1,Salvatore Quasimodo,Ed è subito sera,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
61,IT,TWENTIETH_CENTURY,1,Alberto Moravia,La noia,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
62,IT,TWENTIETH_CENTURY,1,Cesare Pavese,Paesi tuoi,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
63,IT,TWENTIETH_CENTURY,1,Cesare Pavese,La luna e i falò,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
74,IT,TWENTIETH_CENTURY,1,Italo Calvino,Il sentiero dei nidi di ragno,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
75,IT,TWENTIETH_CENTURY,1,Italo Calvino,Il barone rampante,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
78,IT,TWENTIETH_CENTURY,1,Elsa Morante,La storia,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
80,IT,TWENTIETH_CENTURY,1,Pier Paolo Pasolini,Una vita violenta,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
83,IT,TWENTIETH_CENTURY,1,Gesualdo Bufalino,Diceria dell'untore,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
84,IT,TWENTIETH_CENTURY,1,Natalia Ginzburg,Lessico famigliare,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
92,IT,TWENTIETH_CENTURY,1,Cesare Pavese,Dialoghi con Leucò,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
98,IT,CONTEMPORARY,2,Umberto Eco,Baudolino,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
100,IT,CONTEMPORARY,2,Antonio Tabucchi,Notturno indiano,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
104,IT,CONTEMPORARY,2,Elena Ferrante,Storia del nuovo cognome,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
105,IT,CONTEMPORARY,2,Elena Ferrante,Storia di chi fugge e di chi resta,BROAD,/works/OL17081245W,Storia di chi fugge e di chi resta,Elena Ferrante,/books/OL27158290M,Storia di chi fugge e di chi resta,,ita,9788866324119,e/o Edizioni,2013,,14820920,1.0,1.0,0.9900000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-105-OL27158290M.jpeg,RECOVERED
113,IT,CONTEMPORARY,2,Margaret Mazzantini,Non ti muovere,BROAD,/works/OL669818W,Non ti muovere,Margaret Mazzantini | Margaret Mazzantini,/books/OL15384344M,Non ti muovere,romanzo,ita,8804489472,Mondadori,2001,,15087927,1.0,1.0,0.9900000000000001,VALID_COVER,308,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-113-OL15384344M.jpeg,RECOVERED
115,IT,CONTEMPORARY,2,Roberto Saviano,Gomorra,AUTHOR_ONLY,/works/OL26199256W,Gomorra,Roberto Saviano,/books/OL35350766M,Gomorra,viaggio nell'impero economico e nel sogno di dominio della camorra,ita,9788804569152,O. Mondadori,2010,,12191346,1.0,1.0,0.9900000000000001,VALID_COVER,335,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-115-OL35350766M.jpeg,RECOVERED
116,IT,CONTEMPORARY,2,Paolo Giordano,La solitudine dei numeri primi,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
117,IT,CONTEMPORARY,2,Paolo Cognetti,Le otto montagne,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
119,IT,CONTEMPORARY,2,Domenico Starnone,Lacci,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
120,IT,CONTEMPORARY,2,Michela Murgia,Accabadora,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
125,IT,ESSAYS_PHILOSOPHY,2,Norberto Bobbio,Destra e sinistra,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
126,IT,ESSAYS_PHILOSOPHY,2,Umberto Eco,Opera aperta,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
127,IT,ESSAYS_PHILOSOPHY,2,Umberto Eco,Apocalittici e integrati,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
132,IT,ESSAYS_PHILOSOPHY,2,Giordano Bruno,"De l'infinito, universo e mondi",,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
134,IT,ESSAYS_PHILOSOPHY,2,Giacomo Leopardi,Zibaldone,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
138,IT,HISTORY_SOCIETY,2,Mario Rigoni Stern,Il sergente nella neve,AUTHOR_ONLY,/works/OL602169W,Il sergente nella neve,Mario Rigoni Stern,/books/OL19030984M,Il sergente nella neve,ricordi della ritirata di Russia,ita,8806160311,Einaudi,2001,,9688656,1.0,1.0,0.9900000000000001,VALID_COVER,296,500,JPEG,data/audit/reconstruction-IT-recovery-covers/IT-recovery-138-OL19030984M.jpeg,RECOVERED
139,IT,HISTORY_SOCIETY,2,Nuto Revelli,Il mondo dei vinti,,,,,,,,,,,,,,,,,,,,,,STILL_UNRESOLVED
