target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_decision,audit_reason
3,IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
6,IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
11,IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
13,IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
17,IT,ITALIAN_CANON,1,Francesco Guicciardini,Ricordi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
19,IT,ITALIAN_CANON,1,Benvenuto Cellini,Vita,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
24,IT,ITALIAN_CANON,1,Carlo Goldoni,Il servitore di due padroni,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
26,IT,ITALIAN_CANON,1,Vittorio Alfieri,Saul,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
31,IT,ITALIAN_CANON,1,Alessandro Manzoni,Adelchi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
34,IT,ITALIAN_CANON,1,Giovanni Verga,I Malavoglia,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
35,IT,ITALIAN_CANON,1,Giovanni Verga,Mastro-don Gesualdo,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
47,IT,ITALIAN_CANON,1,Italo Svevo,Una vita,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
59,IT,TWENTIETH_CENTURY,1,Salvatore Quasimodo,Ed è subito sera,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
61,IT,TWENTIETH_CENTURY,1,Alberto Moravia,La noia,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
62,IT,TWENTIETH_CENTURY,1,Cesare Pavese,Paesi tuoi,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
63,IT,TWENTIETH_CENTURY,1,Cesare Pavese,La luna e i falò,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
74,IT,TWENTIETH_CENTURY,1,Italo Calvino,Il sentiero dei nidi di ragno,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
75,IT,TWENTIETH_CENTURY,1,Italo Calvino,Il barone rampante,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
78,IT,TWENTIETH_CENTURY,1,Elsa Morante,La storia,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
80,IT,TWENTIETH_CENTURY,1,Pier Paolo Pasolini,Una vita violenta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
83,IT,TWENTIETH_CENTURY,1,Gesualdo Bufalino,Diceria dell'untore,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
84,IT,TWENTIETH_CENTURY,1,Natalia Ginzburg,Lessico famigliare,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
92,IT,TWENTIETH_CENTURY,1,Cesare Pavese,Dialoghi con Leucò,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
98,IT,CONTEMPORARY,2,Umberto Eco,Baudolino,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
100,IT,CONTEMPORARY,2,Antonio Tabucchi,Notturno indiano,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
104,IT,CONTEMPORARY,2,Elena Ferrante,Storia del nuovo cognome,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
105,IT,CONTEMPORARY,2,Elena Ferrante,Storia di chi fugge e di chi resta,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
