language,category,editorial_rank,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,search_result
IT,CONTEMPORARY,1,Umberto Eco,L'isola del giorno prima,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,CONTEMPORARY,2,Umberto Eco,Numero zero,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,CONTEMPORARY,3,Antonio Tabucchi,Piccoli equivoci senza importanza,TITLE_AUTHOR,/works/OL550537W,Piccoli equivoci senza importanza,Antonio Tabucchi,/books/OL2616122M,Piccoli equivoci senza importanza,,ita,8807013061,Feltrinelli,1985,,11023862,1.0,1.0,0.9900000000000001,VALID_COVER,289,500,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-03-OL2616122M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,4,Antonio Tabucchi,Si sta facendo sempre più tardi,TITLE_AUTHOR,/works/OL550540W,SI Sta Facendo Sempre Piu' Tardi,Antonio Tabucchi,/books/OL9176540M,SI Sta Facendo Sempre Piu' Tardi,,ita,9788807015908,Feltrinelli,January 2001,,5363086,1.0,1.0,0.9900000000000001,VALID_COVER,128,205,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-04-OL9176540M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,5,Claudio Magris,Alla cieca,TITLE_AUTHOR,/works/OL19925304W,Alla cieca,Claudio Magris,/books/OL3453903M,Alla cieca,,ita,8811662176,Garzanti,2005,,4266992,1.0,1.0,0.9900000000000001,VALID_COVER,128,195,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-05-OL3453903M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,6,Elena Ferrante,I giorni dell'abbandono,TITLE_AUTHOR,/works/OL8958583W,I giorni dell'abbandono,Elena Ferrante,/books/OL39800103M,I giorni dell'abbandono,,ita,9788876419911,Edizioni e/o,2011,,12915028,1.0,1.0,0.9900000000000001,VALID_COVER,282,500,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-06-OL39800103M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,7,Elena Ferrante,La figlia oscura,BROAD,/works/OL8958584W,La figlia oscura,Elena Ferrante,/books/OL16292424M,La figlia oscura,,ita,8876417532,Edizioni e/ o,2006,,13265480,1.0,1.0,0.9900000000000001,VALID_COVER,199,309,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-07-OL16292424M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,8,Andrea Camilleri,Il ladro di merendine,TITLE_AUTHOR,/works/OL27972869W,Il ladro di merendine,Andrea Camilleri,/books/OL38243413M,Il ladro di merendine,,ita,9788838932243,Sellerio,2014,,12788096,1.0,1.0,0.9900000000000001,VALID_COVER,302,500,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-08-OL38243413M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,9,Andrea Camilleri,La voce del violino,TITLE_AUTHOR,/works/OL27973653W,La voce del violino,Andrea Camilleri,/books/OL38244469M,La voce del violino,,ita,9788838932144,Sellerio,2014,,12789360,1.0,1.0,0.9900000000000001,VALID_COVER,303,500,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-09-OL38244469M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,10,Alessandro Baricco,Novecento,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
IT,CONTEMPORARY,11,Niccolò Ammaniti,Ti prendo e ti porto via,TITLE_AUTHOR,/works/OL971136W,Ti prendo e ti porto via,Niccolò Ammaniti,/books/OL134067M,Ti prendo e ti porto via,romanzo,ita,8804468246,Mondadori,1999,,13670667,1.0,1.0,0.9900000000000001,VALID_COVER,199,304,JPEG,data/audit/reconstruction-IT-replacement-covers/IT-replacement-CONTEMPORARY-11-OL134067M.jpeg,BEST_CANDIDATE_FOUND
IT,CONTEMPORARY,12,Margaret Mazzantini,Nessuno si salva da solo,,,,,,,,,,,,,,,,,,,,,,NO_CANDIDATE
