target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_state,audit_flags,final_decision,final_reason
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,Publius Vergilius Maro,STRICT,/works/OL15237410W,Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,/books/OL23283221M,Bucolica,"Aeneis: Georgica, the greater poems of Virgil",lat,,Ginn,1883,,6514408,0.95,1.0,0.9239999999999999,VALID_COVER,309,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-01-OL23283221M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,REVIEW,Volume composite intitulé Bucolica dont le sous-titre mentionne Aeneis et Georgica. À confirmer que l'Aeneis est bien présente intégralement avant validation.
2,LA,CLASSICAL_LITERATURE,1,Virgile,Georgica,Publius Vergilius Maro,STRICT,/works/OL15237410W,Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,/books/OL23283223M,Bucolica und Georgica,,lat,,Teubner,1876,,8236986,0.95,1.0,0.9239999999999999,VALID_COVER,297,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-02-OL23283223M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
3,LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,Publius Vergilius Maro,STRICT,/works/OL15237297W,P. Vergilii Maronis Eclogae,Publius Vergilius Maro,/books/OL16488077M,P. Vergilii Maronis Eclogae,,lat,,Macmillan,1967,,9429224,0.95,1.0,0.9239999999999999,VALID_COVER,322,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-03-OL16488077M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
4,LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,Ovid,STRICT,/works/OL441929W,Carmina amatoria,Ovid | Antonio Ramirez de Verger,/books/OL18766711M,Carmina amatoria,"Amores, Medicamina faciei femineae, Ars amatoria, Remedia amoris",lat,3598712316,Saur,2003,,5434926,0.95,1.0,0.954,VALID_COVER,128,192,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-04-OL18766711M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL88217W,Carmina,Horace,/books/OL23284205M,"Carmina, liber Epodon",,lat | eng,,University Press,1914,,5755029,0.95,1.0,0.9239999999999999,VALID_COVER,292,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-05-OL23284205M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL88125W,Eclogae Horatianae,Horace,/books/OL23296599M,Eclogae Horatianae.,Pars II. Sermones prope omnes continens,lat,,Rivington,1843,,5755201,0.95,1.0,0.9239999999999999,VALID_COVER,268,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-06-OL23296599M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,REVIEW,Eclogae Horatianae semble être une sélection d'Horace ; à confirmer qu'elle satisfait réellement la cible Sermones et pas seulement des extraits.
7,LA,CLASSICAL_LITERATURE,1,Plaute,Miles Gloriosus,Titus Maccius Plautus,STRICT,/works/OL481470W,Miles gloriosus,Titus Maccius Plautus,/books/OL23319457M,Miles gloriosus,,lat,,Teubner,1881,,6539552,1.0,1.0,0.95,VALID_COVER,299,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-07-OL23319457M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
8,LA,CLASSICAL_LITERATURE,1,Plaute,Menaechmi,Titus Maccius Plautus,STRICT,/works/OL481478W,Menaechmi,Titus Maccius Plautus,/books/OL23319020M,Menaechmi,,lat | eng,,Clarendon Press,1918,,8242877,1.0,1.0,0.95,VALID_COVER,336,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-08-OL23319020M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
9,LA,CLASSICAL_LITERATURE,1,Térence,Andria,Publius Terentius Afer,STRICT,/works/OL15238972W,Comoediae,Publius Terentius Afer,/books/OL7396754M,Comoediae,"Andria, Heauton, Timorumenos, Eunuchus, Phormio, Hecyra, Adelphoe (Oxford Classical Texts Series)",eng | lat,9780198146360,"Oxford University Press, USA","November 11, 1993",,128723,0.95,1.0,0.954,VALID_COVER,305,475,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-09-OL7396754M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
10,LA,CLASSICAL_LITERATURE,1,Sénèque,Medea,Seneca,BROAD,/works/OL102320W,Medea,Seneca the Younger,/books/OL2741454M,Medea,,eng | lat,080149432X,Cornell University Press,1986,,565505,1.0,0.95,0.9675,VALID_COVER,317,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-10-OL2741454M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
