target_index,language,target_author,target_work,query_title,query_author,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,last_chance_result
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL15234302W,Secretum,Francesco Petrarca,/books/OL1197195M,Secretum,,ita | lat,8885760392,Archivio Guido Izzi,1993,,,1.0,1.0,0.9400000000000002,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL42243729W,Secretum,Francesco Petrarca,/books/OL57301267M,Secretum,,ita | lat,,Einaudi,1977,,,1.0,1.0,0.9150000000000001,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,De secreto conflictu curarum mearum,,TITLE_ONLY,/works/OL39766688W,De Secreto Conflictu Curarum Mearum Liber Primus Incipit Feliciter,Francisci Petrarchae,/books/OL54175621M,De Secreto Conflictu Curarum Mearum Liber Primus Incipit Feliciter,,lat,9781479364930,CreateSpace Independent Publishing Platform,2012,,,0.95,0.9743589743589743,0.9060769230769232,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL878577W,De remediis utriusque fortunae,Francesco Petrarca,/books/OL17140710M,"Francisci Petrarchae poetae oratorisque clarissimi, De remediis utriusque fortunae","libri duo ; Ejusdem De contemptu mundi : colloquiorum liber, quem secretum suum inscripsit.",lat,,Ex Officina Arnoldi Leers,1649,,,0.95,1.0,0.888,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL878355W,Francisci Petrarchae poëtae oratorisque clarissimi De remediis utriusque fortunae libri duo,Francesco Petrarca,/books/OL19314820M,Francisci Petrarchae poëtae oratorisque clarissimi De remediis utriusque fortunae libri duo,"ejusdem De contemptu mundi colloquirum liber, quem secretum suum inscripsit.",lat,,Ex officinâ Arnoldi Leers,1649,,,0.95,1.0,0.888,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL45014902W,Secretum Francisci Petrarche de Flore[n]cia poete laureati De co[n]temptu mundi incipit foeliciter,"Francesco Petrarca | Adolph Rusch | Benediktinerkloster St. Mang (Füssen, Germany)",/books/OL61411152M,Secretum Francisci Petrarche de Flore[n]cia poete laureati De co[n]temptu mundi incipit foeliciter,,lat,,The R-Printer (Adolf Rusch),1473,,,0.95,1.0,0.888,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL45720733W,"Francisci Petrarchæ, v. c. De contemptv mvndi, colloqviorvm liber, quem Secretum suum inscripsit",Francesco Petrarca,/books/OL62243767M,"Francisci Petrarchæ, v. c. De contemptv mvndi, colloqviorvm liber, quem Secretum suum inscripsit",De vii. Psalm. pænitent,lat,,excudebat Ionnes le Preux,1604,,,0.95,1.0,0.888,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL878563W,Librorum Francisci Petrarche impressorum annotatio ..,Francesco Petrarca,/books/OL6707055M,Librorum Francisci Petrarche Impressorum Annotatio.,De ignorantia suiipsius [et] multo[rum]. Liber .I.  De ocio religioso[rum]. Liber .I.  Itinerarium.  Propositum factum corā rege vngarie.  De vita solitaria.  Libri .II.  De Remedijs utriusq[ue] fortune. Libri .II.  Libri quem secretum siue de conflictu curarum suarum inscripsit: Colloquium trium dieru[m?].  De uera sapientia. Dialogi .II.  De rebus memorandis. Libri .IIII.  Contra medicum obiurgantē: Inuectiua[rum] Libri .IIII.  Epistolaru[m] de rebus familiaribus. Libri .VIII.  Ad quosdam ex illustribus antiquis quasi sui [con]tēporanei forent. Epl'e. V.  Epistolarum sine titulo. Liber .I.  Ad Karolum quartum Romanorum regem. Epl'a. I.  Septem psalmi penitētiales.  Inuectiua contra Gallum.  Epitoma Illustrium virorum ad Franciscum de Carrharia.  Eiusdem Epitomatis: post obitum Francisci Petrarche: Lorbardi de siricho Supplementum.  Beneuenuti de Rōbaldis Libellus qui Augustalis dicitur.,lat,,,1501,,,0.95,1.0,0.868,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL43830307W,De secreto curarum conflictu,Francesco Petrarca | Francesco Mazzali,/books/OL59750904M,De secreto curarum conflictu,dialogi tres. Diuus Augustinus & Francisc[us] Petrarca collocutores: q[ui] nuper in lucem uenere,lat,,Francesco Mazzali,1501,,,0.7142857142857143,1.0,0.7607142857142858,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
45,LA,Pétrarque,Secretum,Secretum,Petrarch,BROAD,/works/OL44911205W,Librorum Francisci Petrarche impressorum annotatio ...,Francesco Petrarca,/books/OL61290455M,Librorum Francisci Petrarche impressorum annotatio ...,,lat,,,1503,,,0.5822784810126582,1.0,0.6694303797468356,NOT_PROBED,,,,,REJECTED_LAST_CHANCE,
