target_index,language,category,priority,target_author,target_work,previous_decision,previous_edition_key,query_title,query_author,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state,recovery_result
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneis,Virgile,BROAD,/works/OL21106794W,Aeneid,Publius Vergilius Maro | Barry B. Powell,/books/OL30662650M,Aeneid,,lat,9781585102143,Focus Publishing/R. Pullins Company,2012,,13521512,1.0,1.0,0.9800000000000002,VALID_COVER,333,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL30662650M.jpeg,RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneidos,Virgile,BROAD,/works/OL47087W,Aeneis,Publius Vergilius Maro,/books/OL24648219M,Aeneidos Lib. IV,,lat,,Macmillan,1888,,8235429,1.0,1.0,0.9550000000000002,VALID_COVER,325,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL24648219M.jpeg,RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneis,Publius Vergilius Maro,TITLE_AUTHOR,/works/OL16280219W,Aeneid VI,Publius Vergilius Maro,/books/OL15555082M,Aeneid VI,,eng | lat,185399653X,Bristol Classical Press,2003,,12639892,0.95,1.0,0.9535,VALID_COVER,296,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL15555082M.jpeg,RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneidos,Virgile,BROAD,/works/OL8338217W,Aeneis. Liber 6,Publius Vergilius Maro,/books/OL2719427M,"P. Vergili Maronis Aeneidos, liber sextus",with a commentary,lat | eng,0198721285,Clarendon Press,1986,,132194,0.95,1.0,0.9535,VALID_COVER,302,475,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL2719427M.jpeg,RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneis,Publius Vergilius Maro,TITLE_AUTHOR,/works/OL16592218W,Aeneid,Publius Vergilius Maro,/books/OL25276466M,Aeneid,,eng | lat,9780521308816,Cambridge University Press,2012,,,1.0,1.0,0.9300000000000002,NOT_PROBED,,,,,REJECTED_RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneidos,Vergil,BROAD,/works/OL40579612W,Aeneidos,Publius Vergilius Maro,/books/OL55172444M,Aeneidos,Latin,lat,9781975921163,CreateSpace Independent Publishing Platform,2017,,,1.0,1.0,0.9300000000000002,NOT_PROBED,,,,,REJECTED_RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneid,Virgil,BROAD,/works/OL15237410W,Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,/books/OL4477066M,The Bucolics and the first eight books of the Aeneid of Vergil,,lat | eng,,D. Appleton,1882,,7040925,0.95,1.0,0.9285,VALID_COVER,348,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL4477066M.jpeg,RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneidos,,TITLE_ONLY,/works/OL40723785W,Aeneidos,Vergili Maronis,/books/OL55354768M,Aeneidos,,lat,9781977806222,CreateSpace Independent Publishing Platform,2017,,,1.0,0.95,0.9165000000000001,NOT_PROBED,,,,,REJECTED_RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneidos,Vergil,BROAD,/works/OL16279946W,Aeneidos liber decimus,Publius Vergilius Maro,/books/OL22187192M,Aeneidos liber decimus,,lat,9064830010,"Hagae Comitis, ex Officina Cristal-Montana",1980,,,0.95,1.0,0.9035,NOT_PROBED,,,,,REJECTED_RECOVERY_CANDIDATE,
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneid,Vergil,TITLE_AUTHOR,/works/OL25743731W,Aeneid 8,Vergil | James J. O'Hara | Randall T. Ganiban,/books/OL34636583M,Aeneid 8,,eng | lat,9781585108800,"Hackett Publishing Company, Incorporated",2018,,,0.95,1.0,0.9035,NOT_PROBED,,,,,REJECTED_RECOVERY_CANDIDATE,
