target_index,language,category,priority,target_author,target_work,previous_decision,previous_edition_key,query_title,query_author,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state,recovery_result
1,LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,REVIEW,/books/OL23283221M,Aeneis,Virgile,BROAD,/works/OL21106794W,Aeneid,Publius Vergilius Maro | Barry B. Powell,/books/OL30662650M,Aeneid,,lat,9781585102143,Focus Publishing/R. Pullins Company,2012,,13521512,1.0,1.0,0.9800000000000002,VALID_COVER,333,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-01-OL30662650M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,REVIEW,/books/OL23296599M,Satirae,Quintus Horatius Flaccus,BROAD,/works/OL16568834W,Satires,Horace,/books/OL25256520M,Satires,,lat | eng,9780521452205,Cambridge University Press,2012,,13761213,1.0,1.0,0.9800000000000002,VALID_COVER,304,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-06-OL25256520M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
13,LA,CLASSICAL_LITERATURE,1,Apulée,Metamorphoses,REJECT,/books/OL23319243M,Metamorphoseon,Apulée,BROAD,/works/OL658250W,Metamorphoses,"Lucius Apuleius | William Adlington | Lucio Apuleyo | Lucio Apuleio | Apuleio | Apuleius | Marina Cavalli | Costanza Viareggi | Firenzuola, Agnolo | Matteo Maria Boiardo | Nicolò Zoppino | Vicentio",/books/OL23319237M,"Metamorphoseon, Libri XI",,lat,,Teubner,1897,,6539065,1.0,1.0,0.9550000000000002,VALID_COVER,301,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-13-OL23319237M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
18,LA,CLASSICAL_LITERATURE,1,Properce,Elegiae,REVIEW,/books/OL13989033M,Carmina,Properce,BROAD,/works/OL17618122W,Carmina,Sextus Propertius,/books/OL26222651M,Carmina,,lat,,University Press,1907,,7898175,1.0,1.0,0.9550000000000002,VALID_COVER,307,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-18-OL26222651M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
21,LA,PHILOSOPHY_RHETORIC,1,Cicéron,De Legibus,REJECT,/books/OL20299107M,De Legibus,Cicéron,BROAD,/works/OL67533W,De legibus,Cicero,/books/OL23293411M,De legibus libri,,lat,,Vahlen,1871,,6486774,1.0,1.0,0.9550000000000002,VALID_COVER,305,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-21-OL23293411M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
24,LA,PHILOSOPHY_RHETORIC,1,Sénèque,Epistulae Morales ad Lucilium,REJECT,/books/OL5725664M,Epistulae Morales,Sénèque,BROAD,/works/OL15222827W,Ad Lucilium epistulae morates,Seneca the Younger,/books/OL13439155M,Ad Lucilium epistulae morates,,eng | lat,0674990862,Harvard University Press,1917,,5285663,0.9655172413793104,0.95,0.9482241379310348,VALID_COVER,128,202,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-24-OL13439155M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
28,LA,PHILOSOPHY_RHETORIC,1,Lucrèce,De Rerum Natura — alternate scholarly edition,REJECT,/books/OL22092465M,De rerum natura libri sex,Lucrèce,BROAD,/works/OL1548597W,De rerum natura,Titus Lucretius Carus,/books/OL23293716M,"De rerum natura, libri sex",,lat,,Barth,1837,,5755146,1.0,1.0,0.9550000000000002,VALID_COVER,287,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-28-OL23293716M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
31,LA,PHILOSOPHY_RHETORIC,1,Boèce,De Consolatione Philosophiae,REJECT,/books/OL22340444M,Consolatio Philosophiae,Boèce,BROAD,/works/OL1393130W,De consolatione philosophiae,Boethius,/books/OL1590858M,Consolatio philosophiae,,lat,0929524373,"Thomas Library, Bryn Mawr College",1990,,13194261,1.0,1.0,0.9800000000000002,VALID_COVER,319,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-31-OL1590858M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
34,LA,HISTORY,1,Tite-Live,Ab Urbe Condita — alternate volume or edition,REJECT,/books/OL28754886M,Ab Urbe Condita,Tite-Live,BROAD,/works/OL1261147W,Ab urbe condita,Titus Livius,/books/OL24627508M,Ab urbe condita liber I,,lat | eng,,Clarendon Press,1917,,7168850,1.0,1.0,0.9550000000000002,VALID_COVER,288,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-34-OL24627508M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
35,LA,HISTORY,1,Tacite,Annales,REJECT,,Annales,Tacite,BROAD,/works/OL15902600W,-- Annales,P. Cornelius Tacitus,/books/OL23277601M,"The Annals, book IV",,lat | eng,,Univ. Press,1915,,8237894,1.0,0.95,0.9415000000000001,VALID_COVER,315,500,JPEG,data/audit/reconstruction-LA-recovery-covers/LA-recovery-35-OL23277601M.jpeg,RECOVERY_CANDIDATE,RECOVERED_CANDIDATE_FOUND
