language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_title,candidate_1_authors,candidate_1_source_key,candidate_2_score,candidate_2_title,candidate_2_authors,candidate_2_source_key,candidate_3_score,candidate_3_title,candidate_3_authors,candidate_3_source_key
ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares,2,NO_MATCH,0.6211,0.9600,0.3438,/books/OL13362533M,Don Quijote de la Mancha (Clasicos Inolvidables),,Miguel de Cervantes Saavedra,9788497649001,2007,Edimat Libros,KEEP_CORE,0.6211,Don Quijote de la Mancha (Clasicos Inolvidables),Miguel de Cervantes Saavedra,/books/OL13362533M,0.6111,El Coloquio de los Perros,Miguel de Cervantes Saavedra,/books/OL24316909M,0.6057,Don Quijote de La Mancha - Gredos - 3 Tomos,Vicente Gaos | Miguel de Cervantes Saavedra,/books/OL13222016M
ES,SPANISH_CANON,1,Miguel de Cervantes,La Galatea,3,NO_MATCH,0.5958,0.9600,0.2979,/books/OL1182139M,Los baños de Argel ; Pedro de Urdemalas,,Miguel de Cervantes Saavedra,,1992,Taurus Ediciones,KEEP_CORE,0.5958,Los baños de Argel ; Pedro de Urdemalas,Miguel de Cervantes Saavedra,/books/OL1182139M,0.5739,Compendio del Quijote,Miguel de Cervantes Saavedra,/books/OL24327589M,0.5695,Don Quijote de la Mancha (Clasicos Inolvidables),Miguel de Cervantes Saavedra,/books/OL13362533M
ES,SPANISH_CANON,1,Miguel de Cervantes,Los trabajos de Persiles y Sigismunda,4,NO_MATCH,0.6698,0.9600,0.4324,/books/OL1182139M,Los baños de Argel ; Pedro de Urdemalas,,Miguel de Cervantes Saavedra,,1992,Taurus Ediciones,KEEP_CORE,0.6698,Los baños de Argel ; Pedro de Urdemalas,Miguel de Cervantes Saavedra,/books/OL1182139M,0.6612,El ingenioso Hidalgo Don Quijote de la Mancha - Segunda Parte,Miguel de Cervantes Saavedra,/books/OL24322383M,0.6466,El ingenioso Hidalgo Don Quijote de la Mancha,Miguel de Cervantes Saavedra,/books/OL24318170M
ES,SPANISH_CANON,1,Lope de Vega,Fuenteovejuna,5,NO_MATCH,0.4262,0.4286,0.4242,/books/OL6479060M,El financiero,novela,Theodore Dreiser,,1943,Editorial Futuro,KEEP_TRANSLATION,0.4262,El financiero,Theodore Dreiser,/books/OL6479060M,0.4247,Imagenes de Ciudad,Paula Gonzalez Vergara,/books/OL13072183M,0.3993,El arte del Islam,Clara Delgado,/books/OL13193576M
ES,SPANISH_CANON,1,Lope de Vega,El perro del hortelano,6,NO_MATCH,0.5296,0.4286,0.6122,/books/OL3446746M,El regreso de Martín Aquino,,Napoleón Baccino Ponce de León,9789974771017,2003,Casa Editora,KEEP_CORE,0.5296,El regreso de Martín Aquino,Napoleón Baccino Ponce de León,/books/OL3446746M,0.5263,El arte del Islam,Clara Delgado,/books/OL13193576M,0.4810,El financiero,Theodore Dreiser,/books/OL6479060M
ES,SPANISH_CANON,1,Lope de Vega,La dama boba,7,NO_MATCH,0.5790,0.5882,0.5714,/books/OL12955468M,LA Mamama/Mamama,UN Amor Voraz/a Voracious Love,Manuel Lopez De Tejada,9789500713085,1999,Sudamericana,KEEP_CORE,0.5790,LA Mamama/Mamama,Manuel Lopez De Tejada,/books/OL12955468M,0.4569,Quincas Borba,Machado de Assis,/books/OL39334884M,0.4413,La verdad bajo la tierra,Miquel Dewever-Plana,/books/OL13364735M
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,La vida es sueño,8,NO_MATCH,0.4425,0.5116,0.3860,/books/OL18309810M,De la razón antropofágica y otros ensayos,,Haroldo de Campos,9789682322211,2000,Siglo XXI,KEEP_TRANSLATION,0.4425,De la razón antropofágica y otros ensayos,Haroldo de Campos,/books/OL18309810M,0.4421,El vino del estío,Ray Bradbury,/books/OL60471607M,0.4312,Paisajes Del Limbo,Mario Gonzalez Suarez,/books/OL13155189M
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El alcalde de Zalamea,9,NO_MATCH,0.5590,0.5600,0.5581,/books/OL13307470M,Politica De La Memoria,Una Mirada Sobre Occidente Desde El Margen (Pensamiento Critico),Maria Teresa De La Garza,9788476586341,2002,Anthropos Editorial,KEEP_CORE,0.5590,Politica De La Memoria,Maria Teresa De La Garza,/books/OL13307470M,0.5385,El escudo de plata,Alejandro Paternain,/books/OL3979218M,0.5089,El arte del Islam,Clara Delgado,/books/OL13193576M
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El gran teatro del mundo,10,NO_MATCH,0.5205,0.4583,0.5714,/books/OL20801184M,El fantasma del populismo,aproximación a un tema (siempre) actual,Felipe De Lara Burbano,9789803171346,1998,Nueva Sociedad,KEEP_CORE,0.5205,El fantasma del populismo,Felipe De Lara Burbano,/books/OL20801184M,0.5003,El regreso de Martín Aquino,Napoleón Baccino Ponce de León,/books/OL3446746M,0.4841,De la razón antropofágica y otros ensayos,Haroldo de Campos,/books/OL18309810M
ES,SPANISH_CANON,1,Tirso de Molina,El burlador de Sevilla,11,NO_MATCH,0.5120,0.5000,0.5217,/books/OL23073791M,Atlas básico de biología,,José Tola,9788434224605,2002,Parramón,KEEP_CORE,0.5120,Atlas básico de biología,José Tola,/books/OL23073791M,0.4933,El Museo Nacional De Bellas Artes,Jose Linares,/books/OL13073252M,0.4888,El escudo de plata,Alejandro Paternain,/books/OL3979218M
ES,SPANISH_CANON,1,Fernando de Rojas,La Celestina,12,NO_MATCH,0.5205,0.5455,0.5000,/books/OL13279231M,El Alienista,,Machado de Assis,9788472230408,2002,Tusquets Editor,KEEP_TRANSLATION,0.5205,El Alienista,Machado de Assis,/books/OL13279231M,0.4750,La cacería,Alejandro Paternain,/books/OL20977670M,0.4692,La Orestía,Aeschylus,/books/OL4465364M
ES,SPANISH_CANON,1,Garcilaso de la Vega,Églogas,13,NO_MATCH,0.4764,0.4068,0.5333,/books/OL13151879M,Retablos,"Su Restauracion, Estudio y Conservacion (Estudios de Arte y Estetica)",Seminario de Estudio del Patrimonio Art,9789703209811,2003,Universidad Nacional Autonoma de Mexico Tigac,KEEP_CORE,0.4764,Retablos,Seminario de Estudio del Patrimonio Art,/books/OL13151879M,0.4697,Artículos,Mariano José de Larra,/books/OL3052265M,0.4566,El Alienista,Machado de Assis,/books/OL13279231M
ES,SPANISH_CANON,1,San Juan de la Cruz,Cántico espiritual,14,NO_MATCH,0.5113,0.4286,0.5789,/books/OL16309880M,Francisco de Vitoria,España y America : el poder y el hombre,María del Carmen Rovira,9789707015067,2004,Miguel Angel Porrúa,KEEP_CORE,0.5113,Francisco de Vitoria,María del Carmen Rovira,/books/OL16309880M,0.4919,Artículos,Mariano José de Larra,/books/OL3052265M,0.4524,Ambiciones imperiales,David Barsamian | David Barsamian | Noam Chomsky | Anna Llisterri Boix,/books/OL23118364M
ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida,15,NO_MATCH,0.5886,0.3913,0.7500,/books/OL13121130M,Abece de la Vida,,Octavio Colmenares Vargas | Colmenares Octavio,9789684099135,1998,Libros Para Todos,KEEP_CORE,0.5886,Abece de la Vida,Octavio Colmenares Vargas | Colmenares Octavio,/books/OL13121130M,0.5784,Politica De La Memoria,Maria Teresa De La Garza,/books/OL13307470M,0.5088,Sobre la violencia,Hannah Arendt,/books/OL13192650M
ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón,16,NO_MATCH,0.4834,0.5854,0.4000,/books/OL13071847M,El Sol del Poder,Simbologia y Politica Entre Los Muiscas del Norte de Los Andes (Coleccion Sede),Francois Correa Rubio,9789587013955,2004,Universidad Nacional de Colombia Facultad de,KEEP_CORE,0.4834,El Sol del Poder,Francois Correa Rubio,/books/OL13071847M,0.4553,Maluco,Napoleón Baccino Ponce de León,/books/OL1996351M,0.4353,"Hombre, política, y sociedad en nuestro mundo",Francisco Rodríguez Adrados,/books/OL23199168M
ES,SPANISH_CANON,1,Francisco de Quevedo,Sueños,17,NO_MATCH,0.6098,0.1818,0.9600,/books/OL1762910M,Los sueños nucleares de Reagan,,Ariel Dorfman,9789506000738,1986,Editorial Legasa,KEEP_CORE,0.6098,Los sueños nucleares de Reagan,Ariel Dorfman,/books/OL1762910M,0.5002,Buenos Aires,Fabio Grementieri | Xavier Verstraeten | Mimi Bohm,/books/OL13206692M,0.4567,Sujeto,Hugo Zemelman Merino,/books/OL13307409M
ES,SPANISH_CANON,1,Luis de Góngora,Soledades,18,NO_MATCH,0.4160,0.2400,0.5600,/books/OL13226844M,Soldado de Arete,,Gene Wolfe,9788427014916,1991,Martinez Roca,KEEP_TRANSLATION,0.4160,Soldado de Arete,Gene Wolfe,/books/OL13226844M,0.4129,Viudas,Stephen Kessler | Ariel Dorfman,/books/OL3888166M,0.4044,El arte del Islam,Clara Delgado,/books/OL13193576M
ES,SPANISH_CANON,1,Luis de Góngora,Fábula de Polifemo y Galatea,19,NO_MATCH,0.4644,0.4324,0.4906,/books/OL20801184M,El fantasma del populismo,aproximación a un tema (siempre) actual,Felipe De Lara Burbano,9789803171346,1998,Nueva Sociedad,KEEP_CORE,0.4644,El fantasma del populismo,Felipe De Lara Burbano,/books/OL20801184M,0.4497,Politica De La Memoria,Maria Teresa De La Garza,/books/OL13307470M,0.4338,La verdad bajo la tierra,Miquel Dewever-Plana,/books/OL13364735M
ES,SPANISH_CANON,1,José Cadalso,Cartas marruecas,20,NO_MATCH,0.4684,0.2500,0.6471,/books/OL45645957M,Crónicas marcianas,,Ray Bradbury,9788445075715,2006,Minotauro,KEEP_TRANSLATION,0.4684,Crónicas marcianas,Ray Bradbury,/books/OL45645957M,0.4631,Ramon Casas - Impresionistas y Su Epoca -,Ramon Casas,/books/OL13237323M,0.4496,Atlas básico de biología,José Tola,/books/OL23073791M
ES,SPANISH_CANON,1,Leandro Fernández de Moratín,El sí de las niñas,21,NO_MATCH,0.6042,0.5957,0.6111,/books/OL3979218M,El escudo de plata,,Alejandro Paternain,9789974671164,2001,Alfaguara,KEEP_CORE,0.6042,El escudo de plata,Alejandro Paternain,/books/OL3979218M,0.5306,El Latino,Alejandro Giménez Rodríguez,/books/OL16283083M,0.5162,El Fin de La Inocencia,Jose Maria Simonetti,/books/OL13203821M
ES,SPANISH_CANON,1,Gustavo Adolfo Bécquer,Rimas y leyendas,22,NO_MATCH,0.4441,0.4118,0.4706,/books/OL45645957M,Crónicas marcianas,,Ray Bradbury,9788445075715,2006,Minotauro,KEEP_TRANSLATION,0.4441,Crónicas marcianas,Ray Bradbury,/books/OL45645957M,0.4337,Ahora y siempre,Ray Bradbury,/books/OL38581503M,0.4180,Pragmatismo y voluntad,Arturo Claudio Laguado Duca,/books/OL18489538M
ES,SPANISH_CANON,1,Benito Pérez Galdós,Fortunata y Jacinta,23,NO_MATCH,0.4825,0.6111,0.3774,/books/OL4343317M,"Estado, burocracia y sociedad civil","discusión crítica, desarrollos y alternativas a la teoría política de Karl Marx.",Víctor Pérez Díaz,9788420412030,1978,Ediciones Alfaguara,KEEP_CORE,0.4825,"Estado, burocracia y sociedad civil",Víctor Pérez Díaz,/books/OL4343317M,0.4346,Ruptura y Oposicion,Elisa Servin,/books/OL13122584M,0.4318,Muñecos y animales de tela,Gabriela Caporale | Norberto Alayón,/books/OL23057558M
ES,SPANISH_CANON,1,Benito Pérez Galdós,Misericordia,24,NO_MATCH,0.4219,0.5185,0.3429,/books/OL22971270M,Manualidades con Marina,,Editores | Marina Orcoyen,9789500819985,1998,Atlántida,KEEP_CORE,0.4219,Manualidades con Marina,Editores | Marina Orcoyen,/books/OL22971270M,0.4185,"Estado, burocracia y sociedad civil",Víctor Pérez Díaz,/books/OL4343317M,0.4147,"Libreria, La",Ruben Loza Aguerrebere,/books/OL12955868M
ES,SPANISH_CANON,1,Benito Pérez Galdós,Doña Perfecta,25,NO_MATCH,0.4286,0.4211,0.4348,/books/OL20977670M,La cacería,,Alejandro Paternain,9788420429939,1999,Alfaguara,KEEP_CORE,0.4286,La cacería,Alejandro Paternain,/books/OL20977670M,0.4244,Volavérunt,Antonio Larreta,/books/OL3798072M,0.4167,Manualidades con Marina,Editores | Marina Orcoyen,/books/OL22971270M
ES,SPANISH_CANON,1,Benito Pérez Galdós,Tristana,26,NO_MATCH,0.4382,0.3871,0.4800,/books/OL23108419M,María de Sanabria,,Diego Bracco,9788497633772,2007,Ediciones Nowtilus,KEEP_CORE,0.4382,María de Sanabria,Diego Bracco,/books/OL23108419M,0.4072,"Libreria, La",Ruben Loza Aguerrebere,/books/OL12955868M,0.4058,Terapia,Ariel Dorfman,/books/OL6789809M
