language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_source_key,candidate_1_title,candidate_1_authors,candidate_2_score,candidate_2_source_key,candidate_2_title,candidate_2_authors,candidate_3_score,candidate_3_source_key,candidate_3_title,candidate_3_authors,acquisition_state,resolution_reason
LA,CLASSICAL_LITERATURE,1,Virgile,Aeneis,1,NO_MATCH,0.8167,1.0000,0.6667,/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,KEEP_CORE,0.8167,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.5757,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.5165,/books/OL7022722M,Metamorphoses,Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Virgile,Georgica,2,NO_MATCH,0.5986,1.0000,0.2703,/books/OL15482125M,P. Vergili Maronis Opera omnia,,Publius Vergilius Maro,,1912,"Apud Macmillan et socios et P.H. Lee Warner, Mediceae Societatis librarium",KEEP_CORE,0.5986,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.5794,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.5165,/books/OL23350586M,"Tristia, III",Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Virgile,Eclogae,3,NO_MATCH,0.5875,1.0000,0.2500,/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,KEEP_CORE,0.5875,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.5722,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.5079,/books/OL7022722M,Metamorphoses,Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Ovide,Ars Amatoria,5,NO_MATCH,0.6413,1.0000,0.3478,/books/OL23350586M,"Tristia, III",,Ovid,,1900,Clive,KEEP_CORE,0.6413,/books/OL23350586M,"Tristia, III",Ovid,0.6260,/books/OL7022722M,Metamorphoses,Ovid,0.5575,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Horace,Carmina,7,NO_MATCH,0.7384,0.4186,1.0000,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.7384,/books/OL12823125M,Carmina,Claudius Claudianus,0.4084,/books/OL12449141M,De Sigaris Pharaonis,Hergé,0.3692,/books/OL8311025M,Cicero,Cicero,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Horace,Sermones,8,NO_MATCH,0.4743,0.3750,0.5556,/books/OL20455339M,Ysengrimus,,Ernst Voigt | Nivardus,,1884,Buchhandlung des Waisenhauses,KEEP_CORE,0.4743,/books/OL20455339M,Ysengrimus,Ernst Voigt | Nivardus,0.4419,/books/OL12449141M,De Sigaris Pharaonis,Hergé,0.4357,/books/OL8311025M,Cicero,Cicero,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Plaute,Miles Gloriosus,9,NO_MATCH,0.4496,0.5714,0.3500,/books/OL12823229M,"Naturalis Historiae, vol. I",,Pliny the Elder,9783598716508,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4496,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,0.4496,/books/OL12823233M,"Naturalis Historiae, vol. V",Pliny the Elder,0.4449,/books/OL12823230M,"Naturalis Historiae, vol. II",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Plaute,Menaechmi,10,NO_MATCH,0.4313,0.5000,0.3750,/books/OL12823125M,Carmina,,Claudius Claudianus,9783598712401,1998,K.G. SAUR VERLAG,KEEP_CORE,0.4313,/books/OL12823125M,Carmina,Claudius Claudianus,0.4132,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.3866,/books/OL12823229M,"Naturalis Historiae, vol. I",Pliny the Elder,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Térence,Andria,11,NO_MATCH,0.6206,0.7273,0.5333,/books/OL23269455M,"Aeneid, IV",,H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,,1900,Clive,KEEP_CORE,0.6206,/books/OL23269455M,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,0.4844,/books/OL15482125M,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,0.4727,/books/OL23350586M,"Tristia, III",Ovid,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
LA,CLASSICAL_LITERATURE,1,Sénèque,Medea,12,NO_MATCH,0.4450,0.5000,0.4000,/books/OL23349269M,Tragoediae,,Seneca the Younger,,1921,In aedibus B.G. Teubneri,KEEP_CORE,0.4450,/books/OL23349269M,Tragoediae,Seneca the Younger,0.4083,/books/OL12823125M,Carmina,Claudius Claudianus,0.3942,/books/OL3055507M,Thyestes,Seneca the Younger,ACQUIRE,Aucune correspondance acceptable dans le catalogue LA conservé.
