language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_title,candidate_1_authors,candidate_1_source_key,candidate_2_score,candidate_2_title,candidate_2_authors,candidate_2_source_key,candidate_3_score,candidate_3_title,candidate_3_authors,candidate_3_source_key
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Faust,1,EXACT_MATCH,0.9780,1.0000,0.9600,/books/OL12971334M,Faust auf Sächsisch.,,Johann Wolfgang von Goethe,9783821834856,1998,Eichborn,KEEP_CORE,0.9780,Faust auf Sächsisch.,Johann Wolfgang von Goethe,/books/OL12971334M,0.9780,Faust. Eine Tragödie,Johann Wolfgang von Goethe,/books/OL19905058M,0.9780,Faust. Erläuterungen und Dokumente. Der Tragödie Erster Teil.,Johann Wolfgang von Goethe,/books/OL9019265M
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Die Leiden des jungen Werthers,2,EXACT_MATCH,0.9780,1.0000,0.9600,/books/OL9015185M,Die Leiden Des Jungen Werther,,Johann Wolfgang von Goethe,9783895086625,1999,Konemann,KEEP_CORE,0.9780,Die Leiden Des Jungen Werther,Johann Wolfgang von Goethe,/books/OL9015185M,0.9780,Die Leiden des jungen Werthers. Mit Materialien.,Johann Wolfgang von Goethe,/books/OL9018505M,0.8048,"Die Leiden des jungen Werther. Diverse Umschlagfarben, unsortiert.",Johann Wolfgang von Goethe,/books/OL9065623M
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,3,NO_MATCH,0.6562,1.0000,0.3750,/books/OL12727040M,Behalte mich ja lieb. Christianes und Goethes Ehebriefe.,,Johann Wolfgang von Goethe,9783458191902,2000,"Insel, Frankfurt",KEEP_CORE,0.6562,Behalte mich ja lieb. Christianes und Goethes Ehebriefe.,Johann Wolfgang von Goethe,/books/OL12727040M,0.6500,Meine Religion: Mein politischer glaube: Zwei vertrauliche reden,Johann Wolfgang von Goethe,/books/OL20593966M,0.6432,Goethe-brevier: Goethes Leben in seinen Gedichten,Johann Wolfgang von Goethe,/books/OL20535752M
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften,4,NO_MATCH,0.6432,1.0000,0.3514,/books/OL12727040M,Behalte mich ja lieb. Christianes und Goethes Ehebriefe.,,Johann Wolfgang von Goethe,9783458191902,2000,"Insel, Frankfurt",KEEP_CORE,0.6432,Behalte mich ja lieb. Christianes und Goethes Ehebriefe.,Johann Wolfgang von Goethe,/books/OL12727040M,0.6279,Goethe-brevier: Goethes Leben in seinen Gedichten,Johann Wolfgang von Goethe,/books/OL20535752M,0.6268,"EinFach Deutsch, Iphigenie auf Tauris",Johann Wolfgang von Goethe,/books/OL12747340M
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Die Räuber,5,NO_MATCH,0.5234,0.5294,0.5185,/books/OL12866671M,Die Planetenjäger,Die aufregende Entdeckung fremder Welten,Reto U. Schneider,9783764356071,1997,Birkhauser Verlag,KEEP_CORE,0.5234,Die Planetenjäger,Reto U. Schneider,/books/OL12866671M,0.4806,Die Auserwählte,Iain Banks,/books/OL37760774M,0.4789,Emil Nolde & Werner Berg,Harald Scheicher,/books/OL12877496M
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Wilhelm Tell,6,NO_MATCH,0.4544,0.4667,0.4444,/books/OL27313992M,Eine tolle Zeit,,Fritz Leiber,9783436019501,,Fischer-TB.-Vlg.,KEEP_TRANSLATION,0.4544,Eine tolle Zeit,Fritz Leiber,/books/OL27313992M,0.4538,Unterhaltungen mit dem Kanzler Friedrich von Müller,Johann Wolfgang von Goethe | Friedrich von Müller,/books/OL15128666M,0.4523,Lob der Elite,Heike Schmoll,/books/OL16995923M
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Maria Stuart,7,NO_MATCH,0.5021,0.5455,0.4667,/books/OL12917595M,Friaul und Istrien.,,Richard Zürcher,9783791305837,1988,Prestel,KEEP_CORE,0.5021,Friaul und Istrien.,Richard Zürcher,/books/OL12917595M,0.4902,Aristoteles,E. Schuetrumpf,/books/OL12660930M,0.4538,Unterhaltungen mit dem Kanzler Friedrich von Müller,Johann Wolfgang von Goethe | Friedrich von Müller,/books/OL15128666M
DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Nathan der Weise,8,NO_MATCH,0.4408,0.3684,0.5000,/books/OL47326522M,Das Licht der Finsternis,,Fritz Leiber | Jonathan Davis,9783404220533,,,KEEP_TRANSLATION,0.4408,Das Licht der Finsternis,Fritz Leiber | Jonathan Davis,/books/OL47326522M,0.4282,Drachen der Finsternis,Antonia Michaelis,/books/OL27467730M,0.4264,Rahmenerzählungen der Moderne,Gerrit Stratmann,/books/OL19561585M
DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Emilia Galotti,9,NO_MATCH,0.4354,0.3158,0.5333,/books/OL12688168M,Der Heilige Gral,Die Abenteurer 4,Hubert H. Simon,9783404142286,1999,Bastei Lübbe,KEEP_CORE,0.4354,Der Heilige Gral,Hubert H. Simon,/books/OL12688168M,0.3851,Jennie Gerhardt.,Theodore Dreiser,/books/OL13717918M,0.3721,Eine amerikanische Tragödie,Theodore Dreiser,/books/OL6715553M
DE,GERMAN_LANGUAGE_CANON,1,Heinrich von Kleist,Michael Kohlhaas,10,NO_MATCH,0.4223,0.3077,0.5161,/books/OL12684986M,Machiavelli- ABC.,,Bernhard H. F. Taureck,9783379200165,2002,"Reclam, Leipzig",KEEP_CORE,0.4223,Machiavelli- ABC.,Bernhard H. F. Taureck,/books/OL12684986M,0.4206,Sämmtliche Werke,Johann Wolfgang von Goethe,/books/OL20433727M,0.4062,Das Spiel Azad,Iain Banks,/books/OL27029179M
