language,category,priority,author,target_work
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Faust
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Die Leiden des jungen Werthers
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre
DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Die Räuber
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Wilhelm Tell
DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Maria Stuart
DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Nathan der Weise
DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Emilia Galotti
DE,GERMAN_LANGUAGE_CANON,1,Heinrich von Kleist,Michael Kohlhaas
DE,GERMAN_LANGUAGE_CANON,1,Heinrich von Kleist,Der zerbrochne Krug
DE,GERMAN_LANGUAGE_CANON,1,E. T. A. Hoffmann,Der Sandmann
DE,GERMAN_LANGUAGE_CANON,1,E. T. A. Hoffmann,Die Elixiere des Teufels
DE,GERMAN_LANGUAGE_CANON,1,Georg Büchner,Woyzeck
DE,GERMAN_LANGUAGE_CANON,1,Georg Büchner,Dantons Tod
DE,GERMAN_LANGUAGE_CANON,1,Heinrich Heine,Buch der Lieder
DE,GERMAN_LANGUAGE_CANON,1,Heinrich Heine,Deutschland. Ein Wintermärchen
DE,GERMAN_LANGUAGE_CANON,1,Theodor Fontane,Effi Briest
DE,GERMAN_LANGUAGE_CANON,1,Theodor Fontane,"Irrungen, Wirrungen"
DE,GERMAN_LANGUAGE_CANON,1,Gottfried Keller,Der grüne Heinrich
DE,GERMAN_LANGUAGE_CANON,1,Gottfried Keller,Romeo und Julia auf dem Dorfe
DE,GERMAN_LANGUAGE_CANON,1,Adalbert Stifter,Nachsommer
DE,GERMAN_LANGUAGE_CANON,1,Theodor Storm,Der Schimmelreiter
DE,GERMAN_LANGUAGE_CANON,1,Arthur Schnitzler,Leutnant Gustl
DE,GERMAN_LANGUAGE_CANON,1,Arthur Schnitzler,Fräulein Else
DE,GERMAN_LANGUAGE_CANON,1,Hugo von Hofmannsthal,Jedermann
DE,GERMAN_LANGUAGE_CANON,1,Rainer Maria Rilke,Die Aufzeichnungen des Malte Laurids Brigge
DE,GERMAN_LANGUAGE_CANON,1,Rainer Maria Rilke,Duineser Elegien
DE,GERMAN_LANGUAGE_CANON,1,Thomas Mann,Buddenbrooks
DE,GERMAN_LANGUAGE_CANON,1,Thomas Mann,Der Tod in Venedig
DE,GERMAN_LANGUAGE_CANON,1,Hermann Hesse,Unterm Rad
DE,GERMAN_LANGUAGE_CANON,1,Hermann Hesse,Demian
DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Die Verwandlung
DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Der Prozess
DE,GERMAN_LANGUAGE_CANON,1,Franz Kafka,Das Schloss
DE,TWENTIETH_CENTURY,1,Thomas Mann,Der Zauberberg
DE,TWENTIETH_CENTURY,1,Thomas Mann,Doktor Faustus
DE,TWENTIETH_CENTURY,1,Hermann Hesse,Der Steppenwolf
DE,TWENTIETH_CENTURY,1,Hermann Hesse,Das Glasperlenspiel
DE,TWENTIETH_CENTURY,1,Alfred Döblin,Berlin Alexanderplatz
DE,TWENTIETH_CENTURY,1,Erich Maria Remarque,Im Westen nichts Neues
DE,TWENTIETH_CENTURY,1,Bertolt Brecht,Mutter Courage und ihre Kinder
DE,TWENTIETH_CENTURY,1,Bertolt Brecht,Der gute Mensch von Sezuan
DE,TWENTIETH_CENTURY,1,Heinrich Böll,Die verlorene Ehre der Katharina Blum
DE,TWENTIETH_CENTURY,1,Heinrich Böll,Ansichten eines Clowns
DE,TWENTIETH_CENTURY,1,Günter Grass,Die Blechtrommel
DE,TWENTIETH_CENTURY,1,Günter Grass,Katz und Maus
DE,TWENTIETH_CENTURY,1,Max Frisch,Stiller
