language,category,priority,author,target_work
ES,SPANISH_CANON,1,Miguel de Cervantes,Don Quijote de la Mancha
ES,SPANISH_CANON,1,Miguel de Cervantes,Novelas ejemplares
ES,SPANISH_CANON,1,Miguel de Cervantes,La Galatea
ES,SPANISH_CANON,1,Miguel de Cervantes,Los trabajos de Persiles y Sigismunda
ES,SPANISH_CANON,1,Lope de Vega,Fuenteovejuna
ES,SPANISH_CANON,1,Lope de Vega,El perro del hortelano
ES,SPANISH_CANON,1,Lope de Vega,La dama boba
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,La vida es sueño
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El alcalde de Zalamea
ES,SPANISH_CANON,1,Pedro Calderón de la Barca,El gran teatro del mundo
ES,SPANISH_CANON,1,Tirso de Molina,El burlador de Sevilla
ES,SPANISH_CANON,1,Fernando de Rojas,La Celestina
ES,SPANISH_CANON,1,Garcilaso de la Vega,Églogas
ES,SPANISH_CANON,1,San Juan de la Cruz,Cántico espiritual
ES,SPANISH_CANON,1,Santa Teresa de Jesús,Libro de la vida
ES,SPANISH_CANON,1,Francisco de Quevedo,El Buscón
ES,SPANISH_CANON,1,Francisco de Quevedo,Sueños
ES,SPANISH_CANON,1,Luis de Góngora,Soledades
ES,SPANISH_CANON,1,Luis de Góngora,Fábula de Polifemo y Galatea
ES,SPANISH_CANON,1,José Cadalso,Cartas marruecas
ES,SPANISH_CANON,1,Leandro Fernández de Moratín,El sí de las niñas
ES,SPANISH_CANON,1,Gustavo Adolfo Bécquer,Rimas y leyendas
ES,SPANISH_CANON,1,Benito Pérez Galdós,Fortunata y Jacinta
ES,SPANISH_CANON,1,Benito Pérez Galdós,Misericordia
ES,SPANISH_CANON,1,Benito Pérez Galdós,Doña Perfecta
ES,SPANISH_CANON,1,Benito Pérez Galdós,Tristana
ES,SPANISH_CANON,1,Leopoldo Alas Clarín,La Regenta
ES,SPANISH_CANON,1,Emilia Pardo Bazán,Los pazos de Ulloa
ES,SPANISH_CANON,1,Emilia Pardo Bazán,La madre naturaleza
ES,SPANISH_CANON,1,Vicente Blasco Ibáñez,La barraca
ES,SPANISH_CANON,1,Vicente Blasco Ibáñez,Cañas y barro
ES,SPANISH_CANON,1,Miguel de Unamuno,Niebla
ES,SPANISH_CANON,1,Miguel de Unamuno,"San Manuel Bueno, mártir"
ES,SPANISH_CANON,1,Miguel de Unamuno,Abel Sánchez
ES,SPANISH_CANON,1,Pío Baroja,El árbol de la ciencia
ES,SPANISH_CANON,1,Pío Baroja,Zalacaín el aventurero
ES,SPANISH_CANON,1,Ramón del Valle-Inclán,Luces de bohemia
ES,SPANISH_CANON,1,Ramón del Valle-Inclán,Sonata de otoño
ES,SPANISH_CANON,1,Antonio Machado,Campos de Castilla
ES,SPANISH_CANON,1,Antonio Machado,"Soledades, galerías y otros poemas"
ES,SPANISH_CANON,1,Juan Ramón Jiménez,Platero y yo
ES,SPANISH_CANON,1,Juan Ramón Jiménez,Diario de un poeta recién casado
ES,SPANISH_CANON,1,Federico García Lorca,Romancero gitano
ES,SPANISH_CANON,1,Federico García Lorca,La casa de Bernarda Alba
ES,SPANISH_CANON,1,Federico García Lorca,Bodas de sangre
ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,Ficciones
ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,El Aleph
ES,LATIN_AMERICAN_CANON,1,Jorge Luis Borges,Historia universal de la infamia
ES,LATIN_AMERICAN_CANON,1,Julio Cortázar,Rayuela
ES,LATIN_AMERICAN_CANON,1,Julio Cortázar,Bestiario
ES,LATIN_AMERICAN_CANON,1,Julio Cortázar,Final del juego
ES,LATIN_AMERICAN_CANON,1,Gabriel García Márquez,Cien años de soledad
ES,LATIN_AMERICAN_CANON,1,Gabriel García Márquez,El coronel no tiene quien le escriba
ES,LATIN_AMERICAN_CANON,1,Gabriel García Márquez,Crónica de una muerte anunciada
