language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_title,candidate_1_authors,candidate_1_source_key,candidate_2_score,candidate_2_title,candidate_2_authors,candidate_2_source_key,candidate_3_score,candidate_3_title,candidate_3_authors,candidate_3_source_key
IT,ITALIAN_CANON,1,Dante Alighieri,Divina Commedia,1,EXACT_MATCH,0.9780,1.0000,0.9600,/books/OL20577274M,La divina commedia di Dante Allighieri,,Dante Alighieri,,1857,Paroni,KEEP_CORE,0.9780,La divina commedia di Dante Allighieri,Dante Alighieri,/books/OL20577274M,0.9780,"La divina commedia: ridotta a miglior lezione, coll' aiuto di vari testi a penna",Dante Alighieri,/books/OL20507117M,0.6250,Commento di Francesco da Buti sopra la Divina comedia di Dante Allighieri,Dante Alighieri,/books/OL16523471M
IT,ITALIAN_CANON,1,Dante Alighieri,Vita nuova,2,NO_MATCH,0.5875,1.0000,0.2500,/books/OL20577274M,La divina commedia di Dante Allighieri,,Dante Alighieri,,1857,Paroni,KEEP_CORE,0.5875,La divina commedia di Dante Allighieri,Dante Alighieri,/books/OL20577274M,0.5764,"La divina commedia: ridotta a miglior lezione, coll' aiuto di vari testi a penna",Dante Alighieri,/books/OL20507117M,0.5757,"Dante, di giorno in giorno",Dante Alighieri,/books/OL20509646M
IT,ITALIAN_CANON,1,Dante Alighieri,Convivio,3,NO_MATCH,0.6071,1.0000,0.2857,/books/OL6922066M,Canzoni d'amore e madrigali,,Dante Alighieri,,1899,Pei tipi di S. Landi,KEEP_CORE,0.6071,Canzoni d'amore e madrigali,Dante Alighieri,/books/OL6922066M,0.5833,"Dante, di giorno in giorno",Dante Alighieri,/books/OL20509646M,0.5457,La divina commedia di Dante Allighieri,Dante Alighieri,/books/OL20577274M
IT,ITALIAN_CANON,1,Dante Alighieri,Rime,4,NO_MATCH,0.5259,1.0000,0.1379,/books/OL20509646M,"Dante, di giorno in giorno",,Dante Alighieri,,1898,Seeber,KEEP_CORE,0.5259,"Dante, di giorno in giorno",Dante Alighieri,/books/OL20509646M,0.5210,Canzoni d'amore e madrigali,Dante Alighieri,/books/OL6922066M,0.5043,"La divina commedia: ridotta a miglior lezione, coll' aiuto di vari testi a penna",Dante Alighieri,/books/OL20507117M
IT,ITALIAN_CANON,1,Francesco Petrarca,Canzoniere,5,NO_MATCH,0.4544,0.4667,0.4444,/books/OL39813735M,Gli anni,,Annie Ernaux,9788898038169,2015,L'orma,KEEP_TRANSLATION,0.4544,Gli anni,Annie Ernaux,/books/OL39813735M,0.4312,Canzoni d'amore e madrigali,Dante Alighieri,/books/OL6922066M,0.4134,Opuscoli politici,Francesco Orioli,/books/OL14032542M
IT,ITALIAN_CANON,1,Francesco Petrarca,Trionfi,6,NO_MATCH,0.4752,0.6486,0.3333,/books/OL23447227M,Pitture di vasi fittili,,Francesco Inghirami,,1835,"Poligrafia fiesolana , dai torchi dell'autore",KEEP_CORE,0.4752,Pitture di vasi fittili,Francesco Inghirami,/books/OL23447227M,0.4583,"""Tabulae Irnitanae""",Francesca Lamberti,/books/OL16786040M,0.4300,Gli anni,Annie Ernaux,/books/OL39813735M
IT,ITALIAN_CANON,1,Giovanni Boccaccio,Decameron,7,NO_MATCH,0.4550,0.4000,0.5000,/books/OL47519662M,La vergogna,,Annie Ernaux,9788899793593,2018,L'orma,KEEP_TRANSLATION,0.4550,La vergogna,Annie Ernaux,/books/OL47519662M,0.3862,L'Esclusa,Luigi Pirandello,/books/OL24433301M,0.3767,Lo scherzo,Milan Kundera,/books/OL32351351M
IT,ITALIAN_CANON,1,Giovanni Boccaccio,Elegia di Madonna Fiammetta,8,NO_MATCH,0.5100,0.3333,0.6545,/books/OL20094983M,Il cammino di madonna Oretta,studi di letteratura italiana dal Due al Novecento,Luca Badini Confalonieri,9788876947476,2004,Edizioni dell'Orso,KEEP_CORE,0.5100,Il cammino di madonna Oretta,Luca Badini Confalonieri,/books/OL20094983M,0.4189,Venezia nell'età moderna,Ennio Concina,/books/OL2267321M,0.4063,L Arsenale Della Repubblica DI Venezia,Ennio Concina,/books/OL13429814M
IT,ITALIAN_CANON,1,Giovanni Boccaccio,Corbaccio,9,NO_MATCH,0.4232,0.4516,0.4000,/books/OL22509514M,arti di Bisanzio,secoli 6.-15,Ennio Concina,9788842497721,2002,B. Mondadori,KEEP_CORE,0.4232,arti di Bisanzio,Ennio Concina,/books/OL22509514M,0.3764,I Colori del Divino,Biblioteca Riccardiana,/books/OL13434626M,0.3639,L' umorismo,Luigi Pirandello,/books/OL6742910M
IT,ITALIAN_CANON,1,Ludovico Ariosto,Orlando furioso,10,NO_MATCH,0.4869,0.5000,0.4762,/books/OL13428679M,Parole E Immagini Futuriste,Dalla Collezione Wolfson,Silvia Barisione,9788820214579,2001,Mazzotta,KEEP_CORE,0.4869,Parole E Immagini Futuriste,Silvia Barisione,/books/OL13428679M,0.4060,Teorica del sovrannaturale,Vincenzo Gioberti,/books/OL23404474M,0.3931,Solaris,Stanisław Lem,/books/OL27088255M
IT,ITALIAN_CANON,1,Ludovico Ariosto,Satire,11,NO_MATCH,0.4109,0.4242,0.4000,/books/OL20140192M,Il negoziatore.,,Frederick Forsyth,9788804347606,1989,Mondadori,KEEP_TRANSLATION,0.4109,Il negoziatore.,Frederick Forsyth,/books/OL20140192M,0.4088,Estetica,Mario Pilo,/books/OL33162833M,0.4000,David Tremlett,David Tremlett,/books/OL37941434M
IT,ITALIAN_CANON,1,Torquato Tasso,Gerusalemme liberata,12,NO_MATCH,0.4028,0.3636,0.4348,/books/OL22448562M,Manuale minimo dell'attore,,Dario Fo,9788806147754,1997,Einaudi,KEEP_CORE,0.4028,Manuale minimo dell'attore,Dario Fo,/books/OL22448562M,0.3652,Estetica,Mario Pilo,/books/OL33162833M,0.3650,Germaine Richier,Germaine Richier,/books/OL20358475M
IT,ITALIAN_CANON,1,Torquato Tasso,Aminta,13,NO_MATCH,0.4316,0.4444,0.4211,/books/OL19153146M,Antoni Tàpies.,,Antoni Tàpies,9788881184217,1998,Skira,KEEP_TRANSLATION,0.4316,Antoni Tàpies.,Antoni Tàpies,/books/OL19153146M,0.3447,beata riva,Angelo Conti,/books/OL23638966M,0.3434,Candido,Leonardo Sciascia,/books/OL61038323M
IT,ITALIAN_CANON,1,Niccolò Machiavelli,Il Principe,14,NO_MATCH,0.5289,0.2791,0.7333,/books/OL13430352M,Il Piccolo Principe,,Antoine de Saint-Exupéry,9788845230455,2002,Distribooks Inc,KEEP_TRANSLATION,0.5289,Il Piccolo Principe,Antoine de Saint-Exupéry,/books/OL13430352M,0.4708,La sparizione,Saul Bellow,/books/OL20650311M,0.4414,Opuscoli politici,Francesco Orioli,/books/OL14032542M
IT,ITALIAN_CANON,1,Niccolò Machiavelli,Discorsi sopra la prima deca di Tito Livio,15,NO_MATCH,0.4458,0.3529,0.5217,/books/OL16523471M,Commento di Francesco da Buti sopra la Divina comedia di Dante Allighieri,,Dante Alighieri,,1858,Fratelli Nistri,KEEP_CORE,0.4458,Commento di Francesco da Buti sopra la Divina comedia di Dante Allighieri,Dante Alighieri,/books/OL16523471M,0.4108,Opuscoli politici,Francesco Orioli,/books/OL14032542M,0.4033,"Di Polidoro Virgilio da Vrbino de gli inventori delle cose, libri otto",Polydore Vergil,/books/OL20261980M
IT,ITALIAN_CANON,1,Niccolò Machiavelli,La Mandragola,16,NO_MATCH,0.4370,0.2581,0.5833,/books/OL47519662M,La vergogna,,Annie Ernaux,9788899793593,2018,L'orma,KEEP_TRANSLATION,0.4370,La vergogna,Annie Ernaux,/books/OL47519662M,0.4194,Il Menage a Quattro,Pierpaolo Antonello,/books/OL13427558M,0.4030,Il cammino di madonna Oretta,Luca Badini Confalonieri,/books/OL20094983M
IT,ITALIAN_CANON,1,Francesco Guicciardini,Ricordi,17,NO_MATCH,0.4217,0.6316,0.2500,/books/OL14032542M,Opuscoli politici,,Francesco Orioli,,1851,Boniardi-Pogliani,KEEP_CORE,0.4217,Opuscoli politici,Francesco Orioli,/books/OL14032542M,0.4045,Germaine Richier,Germaine Richier,/books/OL20358475M,0.3973,Candido,Leonardo Sciascia,/books/OL61038323M
IT,ITALIAN_CANON,1,Francesco Guicciardini,Storia d'Italia,18,NO_MATCH,0.5459,0.6341,0.4737,/books/OL23447227M,Pitture di vasi fittili,,Francesco Inghirami,,1835,"Poligrafia fiesolana , dai torchi dell'autore",KEEP_CORE,0.5459,Pitture di vasi fittili,Francesco Inghirami,/books/OL23447227M,0.5248,Opuscoli politici,Francesco Orioli,/books/OL14032542M,0.4895,Affari di famiglia,Catherine Gaskin,/books/OL20651956M
IT,ITALIAN_CANON,1,Benvenuto Cellini,Vita,19,NO_MATCH,0.5519,0.6154,0.5000,/books/OL14633008M,Pisa,,Igino Benvenuto Supino,,1905,Istituto italiano d'arti grafiche,KEEP_CORE,0.5519,Pisa,Igino Benvenuto Supino,/books/OL14633008M,0.4132,Taipi,Herman Melville,/books/OL27108351M,0.3971,Venezia nell'età moderna,Ennio Concina,/books/OL2267321M
IT,ITALIAN_CANON,1,Galileo Galilei,Dialogo sopra i due massimi sistemi del mondo,20,NO_MATCH,0.7483,1.0000,0.5424,/books/OL23305785M,I dialoghi di Galileo Galilei sui massimi sistemi tolemaico e copernicano,volume unico.,Galileo Galilei,,1874,Coi tipi di F. Vigo,KEEP_CORE,0.7483,I dialoghi di Galileo Galilei sui massimi sistemi tolemaico e copernicano,Galileo Galilei,/books/OL23305785M,0.4526,Orologi da polso,Alberto Uglietti,/books/OL20000805M,0.3840,Le avventure di Mademoiselle de Maupin,Théophile Gautier,/books/OL56058556M
IT,ITALIAN_CANON,1,Galileo Galilei,Il Saggiatore,21,NO_MATCH,0.5651,1.0000,0.2093,/books/OL23305785M,I dialoghi di Galileo Galilei sui massimi sistemi tolemaico e copernicano,volume unico.,Galileo Galilei,,1874,Coi tipi di F. Vigo,KEEP_CORE,0.5651,I dialoghi di Galileo Galilei sui massimi sistemi tolemaico e copernicano,Galileo Galilei,/books/OL23305785M,0.4929,Il mondo Sfavillante,"Shailesh Kori | Margaret Cavendish, Duchess of Newcastle | Ian Randal Strock | Erika Garcia",/books/OL57925000M,0.4810,Il posto,Annie Ernaux,/books/OL32132773M
IT,ITALIAN_CANON,1,Giambattista Marino,Adone,22,NO_MATCH,0.4338,0.3529,0.5000,/books/OL15138118M,A bordo con Noè,,Timothy Findley,,1985,Garzanti,KEEP_TRANSLATION,0.4338,A bordo con Noè,Timothy Findley,/books/OL15138118M,0.3604,Mare di Papaveri,Amitav Ghosh,/books/OL23942462M,0.3569,Antoni Tàpies.,Antoni Tàpies,/books/OL19153146M
IT,ITALIAN_CANON,1,Carlo Goldoni,La locandiera,23,NO_MATCH,0.5067,0.7500,0.3077,/books/OL22092844M,Machiavelli e le sue opere,,Carlo Gioda,,1874,G. Barbèra,KEEP_CORE,0.5067,Machiavelli e le sue opere,Carlo Gioda,/books/OL22092844M,0.4396,I mercanti di sogni,Harold Robbins,/books/OL13852935M,0.4250,Candido,Leonardo Sciascia,/books/OL61038323M
IT,ITALIAN_CANON,1,Carlo Goldoni,Il servitore di due padroni,24,NO_MATCH,0.5243,0.7500,0.3396,/books/OL22092844M,Machiavelli e le sue opere,,Carlo Gioda,,1874,G. Barbèra,KEEP_CORE,0.5243,Machiavelli e le sue opere,Carlo Gioda,/books/OL22092844M,0.5203,I mercanti di sogni,Harold Robbins,/books/OL13852935M,0.4435,Il manoscritto di Brodie,Jorge Luis Borges,/books/OL36636673M
IT,ITALIAN_CANON,1,Giuseppe Parini,Il giorno,25,NO_MATCH,0.4637,0.3871,0.5263,/books/OL6742910M,L' umorismo,saggio,Luigi Pirandello,,1920,L. Battistelli,KEEP_CORE,0.4637,L' umorismo,Luigi Pirandello,/books/OL6742910M,0.4569,Il posto,Annie Ernaux,/books/OL32132773M,0.4473,Il negoziatore.,Frederick Forsyth,/books/OL20140192M
IT,ITALIAN_CANON,1,Vittorio Alfieri,Saul,26,NO_MATCH,0.3934,0.2632,0.5000,/books/OL14633008M,Pisa,,Igino Benvenuto Supino,,1905,Istituto italiano d'arti grafiche,KEEP_CORE,0.3934,Pisa,Igino Benvenuto Supino,/books/OL14633008M,0.3851,Krull,Alan Dean Foster,/books/OL62359815M,0.3648,Teorica del sovrannaturale,Vincenzo Gioberti,/books/OL23404474M
IT,ITALIAN_CANON,1,Vittorio Alfieri,Mirra,27,NO_MATCH,0.3895,0.4000,0.3810,/books/OL47938633M,Pilota di guerra,,Antoine de Saint-Exupéry,,1944,Casa editrice Partenia,KEEP_TRANSLATION,0.3895,Pilota di guerra,Antoine de Saint-Exupéry,/books/OL47938633M,0.3783,Germaine Richier,Germaine Richier,/books/OL20358475M,0.3629,Pisa,Igino Benvenuto Supino,/books/OL14633008M
IT,ITALIAN_CANON,1,Ugo Foscolo,Ultime lettere di Jacopo Ortis,28,NO_MATCH,0.4386,0.3636,0.5000,/books/OL23083343M,Le mura di Adrianopoli,,Guido Cervo,9788838476280,2006,Piemme,KEEP_CORE,0.4386,Le mura di Adrianopoli,Guido Cervo,/books/OL23083343M,0.3923,Gli Eredi di Gilgamesh,Abdullah Öcalan | Klaus Happel,/books/OL25326597M,0.3916,Tutti i racconti,Roald Dahl,/books/OL26445408M
IT,ITALIAN_CANON,1,Ugo Foscolo,Dei Sepolcri,29,NO_MATCH,0.4322,0.3704,0.4828,/books/OL14032542M,Opuscoli politici,,Francesco Orioli,,1851,Boniardi-Pogliani,KEEP_CORE,0.4322,Opuscoli politici,Francesco Orioli,/books/OL14032542M,0.4191,James Ensor,Joachim Heusinger von Waldegg | Rudolf Schmitz | Xavier Tricot | James Ensor,/books/OL13771463M,0.3957,beata riva,Angelo Conti,/books/OL23638966M
IT,ITALIAN_CANON,1,Alessandro Manzoni,I promessi sposi,30,NO_MATCH,0.4632,0.4706,0.4571,/books/OL62359748M,Incontri pericolosi,,Alan Dean Foster,,2003,Editrice Nord,KEEP_TRANSLATION,0.4632,Incontri pericolosi,Alan Dean Foster,/books/OL62359748M,0.4235,I mercanti di sogni,Harold Robbins,/books/OL13852935M,0.4233,Filogenesi,Alan Dean Foster,/books/OL62359422M
IT,ITALIAN_CANON,1,Alessandro Manzoni,Adelchi,31,NO_MATCH,0.4414,0.4571,0.4286,/books/OL61038323M,Candido,"ovvero, Un sogno fatto in Sicilia",Leonardo Sciascia,9788845919619,2005,Adelphi,KEEP_CORE,0.4414,Candido,Leonardo Sciascia,/books/OL61038323M,0.4082,La fine della vicenda,Alan Dean Foster,/books/OL62359803M,0.4069,La città degli ebrei,Ennio Concina,/books/OL1771801M
IT,ITALIAN_CANON,1,Giacomo Leopardi,Canti,32,NO_MATCH,0.6480,0.2667,0.9600,/books/OL13852935M,I mercanti di sogni,,Harold Robbins,,1984,Arnoldo Mondadori Editore,KEEP_TRANSLATION,0.6480,I mercanti di sogni,Harold Robbins,/books/OL13852935M,0.5576,Candido,Leonardo Sciascia,/books/OL61038323M,0.3848,Accompagnatrice,Nina Nikolaevna Berberova,/books/OL13428105M
